By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Daventry	20 April 1943	Edward Fitzroy	Speaker	Reginald Manningham-Buller	Conservative	Death
Eddisbury	7 April 1943	Richard John Russell	Conservative	John Loverseed	Common Wealth	Death
Buckingham	4 April 1943	John Whiteley	Conservative	Lionel Berry	Conservative	Death (active service)
Watford	23 February 1943	Dennis Herbert	Conservative	William Helmore	Conservative	Elevation to the peerage
Bristol Central	18 February 1943	Allen Apsley	Conservative	Violet Bathurst	Conservative	Death (active service)
Portsmouth North	16 February 1943	Sir Roger Keyes	Conservative	William James	Conservative	Elevation to the peerage
King's Lynn	12 February 1943	Somerset Maxwell	Conservative	Edmund Roche	Conservative	Death (active service)
Midlothian and Peebles Northern	11 February 1943	John Colville	Conservative	Sir David King Murray	Conservative	Appointment as Governor of Bombay
Antrim	11 February 1943	Joseph McConnell	UUP	John Dermot Campbell	UUP	Death
Ashford	10 February 1943	Patrick Spens	Conservative	Edward Percy Smith	Conservative	Appointment as Chief Justice of India
Belfast West	9 February 1943	Alexander Browne	UUP	Jack Beattie	NI Labour	Death
University of Wales	30 January 1943	Ernest Evans	Liberal	William John Gruffydd	Liberal	Appointment as a County Court Judge
Hamilton	29 January 1943	Duncan Graham	Labour	Tom Fraser	Labour	Death
Ince	20 October 1942	Gordon Macdonald	Labour	Tom Brown	Labour	Appointment as North-West Regional Fuel Controller
Manchester Clayton	17 October 1942	John Jagger	Labour	Harry Thorneycroft	Labour	Death (road accident)
Sheffield Park	27 August 1942	George Lathan	Labour	Thomas Burden	Labour	Death
Poplar South	12 August 1942	David Morgan Adams	Labour	William Henry Guy	Labour	Death
Whitechapel and St Georges	8 August 1942	J. H. Hall	Labour	Walter Edwards	Labour	Death
Rothwell	7 August 1942	William Lunn	Labour	T. J. Brooks	Labour	Death
Spennymoor	21 July 1942	Joseph Batey	Labour	James Murray	Labour	Resignation (ill-health)
Salisbury	8 July 1942	James Despencer-Robertson	Conservative	John Morrison	Conservative	Death
Windsor	30 June 1942	Annesley Somerville	Conservative	Charles Mott-Radclyffe	Conservative	Death
Maldon	25 June 1942	Edward Ruggles-Brise	Conservative	Tom Driberg	Independent	Death
Llandaff and Barry	10 June 19421	Patrick Munro	Conservative	Cyril Lakin	Conservative	Death (active service)
Chichester	25 May 1942	John Courtauld	Conservative	Lancelot Joynson-Hicks	Conservative	Death
Putney	8 May 1942	Marcus Samuel	Conservative	Hugh Linstead	Conservative	Death
Rugby	29 April 1942	David Margesson	Conservative	William Brown	Independent	Elevation to the peerage
Wallasey	29 April 1942	John Moore-Brabazon	Conservative	George Reakes	Independent	Elevation to the peerage
Glasgow Cathcart	29 April 1942	John Train	Conservative	Francis Beattie	Conservative	Death
Cardiff East	13 April 1942	Owen Temple-Morris	Conservative	Sir P. J. Grigg	National	Appointment as a County Court Judge
Tavistock	2 April 1942	Colin Patrick	Conservative	Henry Studholme	Conservative	Death
Grantham	25 March 1942	Victor Warrender	Conservative	Denis Kendall	Independent	Elevation to the peerage
Wigan	11 March 1942	John Parkinson	Labour	William Foster	Labour	Death
Newcastle-under-Lyme	11 March 1942	Josiah Wedgwood	Labour	John Mack	Labour	Elevation to the peerage
Manchester Gorton	11 March 1942	William Wedgwood Benn	Labour	William Oldfield	Labour	Elevation to the peerage
Nuneaton	9 March 1942	Reginald Fletcher	Labour	Frank Bowles	Labour	Elevation to the peerage
Keighley	13 February 1942	Hastings Lees-Smith	Labour	Ivor Thomas	Labour	Death
North East Derbyshire	2 February 1942	Frank Lee	Labour	Henry White	Labour	Death
Edinburgh Central	11 December 1941	James Guy	Conservative	Frank Watt	Conservative	Resignation (ill-health)
Harrow	2 December 1941	Isidore Salmon	Conservative	Norman Bower	Conservative	Death
Hampstead	27 November 1941	George Balfour	Conservative	Charles Challen	Conservative	Death
Brighton	15 November 1941	Lord Erskine	Conservative	Anthony Marlowe	Conservative	Resignation
Lancaster	15 October 1941	Herwald Ramsbotham	Conservative	Fitzroy Maclean	Conservative	Elevation to the peerage
The Wrekin	26 September 1941	James Baldwin-Webb	Conservative	Arthur Colegate	Conservative	Death (drowned when the liner City of Benares was torpedoed)
Scarborough and Whitby	24 September 1941	Paul Latham	Conservative	Alexander Spearman	Conservative	Resignation (scandal)
Berwick-upon-Tweed	18 August 1941	Hugh Seely	Liberal	George Charles Grey	Liberal	Elevation to the peerage
Pontefract	24 July 1941	Adam Hills	Labour	Percy Barstow	Labour	Death
Dudley	23 July 1941	Dudley Joel	Conservative	Cyril Edward Lloyd	Conservative	Death (active service)
Edinburgh West	12 July 1941	Thomas Cooper	Conservative	Ian Clark Hutchison	Conservative	Appointed Lord Justice Clerk
Greenock	10 July 1941	Robert Gibson	Labour	Hector McNeil	Labour	Appointment as Chairman of the Scottish Land Court
West Dorset	21 June 1941	Philip Colfox	Conservative	Simon Wingfield-Digby	Conservative	Resignation
Hornsey	28 May 1941	Euan Wallace	Conservative	David Gammans	Conservative	Death
King's Norton	8 May 1941	Ronald Cartland	Conservative	Arthur Peto	Conservative	Death (active service)
Mansfield	22 April 1941	Charles Brown	Labour	Bernard Taylor	Labour	Death
West Bromwich	16 April 1941	Frederick Roberts	Labour	John Dugdale	Labour	Resignation (ill-health)
Great Yarmouth	8 April 1941	Arthur Harbord	Liberal National	Percy Jewson	Liberal National	Death
Carmarthen	26 March 1941	Daniel Hopkin	Labour	Ronw Hughes	Labour	Appointment as a Metropolitan Police Magistrate
Bodmin	11 March 1941	John Rathbone	Conservative	Beatrice Wright	Conservative	Death (active service)
Hitchin	10 March 1941	Arnold Wilson	Conservative	Seymour Berry	Conservative	Death (active service)
Dunbartonshire	27 February 1941	Thomas Cassells	Labour	Adam McKinlay	Labour	Appointment as Sheriff Substitute
Petersfield	22 February 1941	Reginald Dorman-Smith	Conservative	George Jeffreys	Conservative	Appointment as Governor of Burma
South Dorset	22 February 1941	Robert Gascoyne-Cecil	Conservative	Victor Montagu	Conservative	Succession to the peerage by writ of acceleration
Doncaster	6 February 1941	John Morgan	Labour	Evelyn Walkden	Labour	Death
Birmingham Edgbaston	18 December 1940	Neville Chamberlain	Conservative	Peter Bennett	Conservative	Death
Northampton	6 December 1940	Mervyn Manningham-Buller	Conservative	Gerard Summers	Conservative	Resignation
Southampton	27 November 1940	Sir John Reith	National	Russell Thomas	Liberal National	Elevation to the peerage
Aldershot	26 November 1940	Roundell Palmer	Conservative	Oliver Lyttelton	Conservative	Succession to the peerage
Queen's University of Belfast	2 November 1940	Thomas Sinclair	UUP	Douglas Savory	UUP	Resignation
Preston	25 September 1940	Adrian Moreing	Conservative	Randolph Churchill	Conservative	Death
Manchester Exchange	21 September 1940	Peter Eckersley	Conservative	Thomas Hewlett	Conservative	Death (active service)
Bolton	13 September 1940	John Haslam	Conservative	Edward Cadogan	Conservative	Death
Heywood and Radcliffe	28 August 1940	Richard Porritt	Conservative	James Wootton-Davies	Conservative	Death (active service)
Mitcham	19 August 1940	Richard Meller	Conservative	Malcolm Robertson	Conservative	Death
Middlesbrough West	7 August 1940	Frank Kingsley Griffith	Liberal	Harcourt Johnstone	Liberal	Appointment as a County Court Judge
Wansbeck	29 July 1940	Bernard Cruddas	Conservative	Robert Scott	Conservative	Resignation
Rochdale	20 July 1940	William Kelly	Labour	Hyacinth Morgan	Labour	Resignation (ill-health)
Nottingham Central	19 July 1940	Terence O'Connor	Conservative	Frederick Sykes	Conservative	Death
Montrose Burghs	5 July 1940	Charles Kerr	Liberal National	John Maclay	Liberal National	Elevation to the peerage
Newcastle upon Tyne West	5 July 1940	Joseph Leech	Conservative	William Nunn	Conservative	Elevation to the peerage
Bournemouth	27 June 1940	Henry Page Croft	Conservative	Leonard Lyle	Conservative	Elevation to the peerage
Wandsworth Central	22 June 1940	Harry Nathan	Labour	Ernest Bevin	Labour	Elevation to the peerage
Croydon North	19 June 1940	Glyn Mason	Conservative	Henry Willink	Conservative	Resignation
Bow and Bromley	12 June 1940	George Lansbury	Labour	Charles Key	Labour	Death
Newcastle upon Tyne North	7 June 1940	Nicholas Grattan-Doyle	Conservative	Cuthbert Headlam	Ind. Conservative	Resignation (ill-health)
Middleton and Prestwich	1 June 1940	Nairne Stewart Sandeman	Conservative	Ernest Gates	Conservative	Death
Spen Valley	1 June 1940	Sir John Simon	Liberal National	William Woolley	Liberal National	Hereditary Peerage on appointment as Lord High Chancellor of Great Britain
East Renfrewshire	9 May 1940	Douglas Douglas-Hamilton	Conservative	Guy Lloyd	Conservative	Succession to the peerage
Brighton	9 May 1940	George Tryon	Conservative	Lord Erskine	Conservative	Elevation to the peerage
Glasgow Pollok	30 April 1940	John Gilmour	Conservative	Thomas Galbraith	Conservative	Death
Battersea North	17 April 1940	William Sanders	Labour	Francis Douglas	Labour	Resignation (ill-health)
Lonsdale	12 April 1940	David Lindsay	Conservative	Ian Fraser	Conservative	Succession to the peerage
Argyll	10 April 1940	Frederick Macquisten	Conservative	Duncan McCallum	Conservative	Death
Leeds North East	13 March 1940	John Birchall	Conservative	John Craik-Henderson	Conservative	Resignation (ill-health)
City of Chester	7 March 1940	Charles Cayzer	Conservative	Basil Nield	Conservative	Apparent murder/suicide
Kettering	6 March 1940	John Eastwood	Conservative	John Profumo	Conservative	Appointment as a Metropolitan Magistrate
Cambridge University	23 February 1940	John James Withers	Conservative	Archibald Hill	Independent Conservative	Death
Silvertown	22 February 1940	Jack Jones	Labour	James Hollins	Labour	Resignation (ill-health)
Southwark Central	10 February 1940	Harry Day	Labour	John Hanbury Martin	Labour	Death
Belfast East	8 February 1940	Herbert Dixon	UUP	Henry Peirson Harland	UUP	Elevation to the peerage
Swansea East	5 February 1940	David Williams	Labour	David Mort	Labour	Resignation (ill-health)
City of London	5 February 1940	Alan Anderson	Conservative	Sir Andrew Duncan	National	Resignation (pressure of work at the Wheat Commission)
Southampton	1 February 1940	Sir C. C. Barrie	Liberal National	Sir John Reith	National	Resignation (to provide a seat for Sir John Reith)
Wells	13 December 1939	A. J. Muirhead	Conservative	D. C. Boles	Conservative	Death (suicide)
Stretford	8 December 1939	Anthony Crossley	Conservative	Ralph Etherton	Conservative	Death (air crash)
Streatham	7 December 1939	William Lane-Mitchell	Conservative	David Robertson	Conservative	Resignation (to make way for a younger candidate)
Macclesfield	22 November 1939	John Remer	Conservative	W. Garfield Weston	Conservative	Resignation (ill-health)
Ashton-under-Lyne	28 October 1939	Fred Simpson	Labour	William Jowitt	Labour	Death
Ormskirk	27 October 1939	Samuel Rosbotham	National Labour	Stephen King-Hall	National Labour	Resignation (ill-health)
Clackmannanshire and East Stirlingshire	13 October 1939	Lauchlin MacNeill Weir	Labour	Arthur Woodburn	Labour	Death
High Peak	7 October 1939	Alfred Law	Conservative	High Molson	Conservative	Death
Fareham	6 October 1939	Sir Thomas Inskip	Conservative	Dymoke White	Conservative	Hereditary Peerage on appointment as Lord High Chancellor of Great Britain
Brecon and Radnorshire	1 August 1939	Ivor Guest	National	William Jackson	Labour	Succession to the peerage
Colne Valley	27 July 1939	Ernest Marklew	Labour	Glenvil Hall	Labour	Death
Monmouth	25 July 1939	John Herbert	Conservative	Leslie Pym	Conservative	Appointment as Governor of Bengal
Hythe	20 July 1939	Philip Sassoon	Conservative	Rupert Brabner	Conservative	Death
North Cornwall	13 July 1939	Francis Dyke Acland	Liberal	Tom Horabin	Liberal	Death
Portsmouth South	12 July 1939	Herbert Cayzer	Conservative	Jocelyn Lucas	Conservative	Elevation to the peerage
Caerphilly	4 July 1939	Morgan Jones	Labour	Ness Edwards	Labour	Death
Kennington	24 May 1939	George Harvey	Conservative	John Wilmot	Labour	Death
Birmingham Aston	17 May 1939	Arthur Hope	Conservative	Edward Kellett	Conservative	Resignation
Southwark North	19 May 1939	Edward Strauss	Liberal National	George Isaacs	Labour	Death
Westminster Abbey	17 May 1939	Sidney Herbert	Conservative	Harold Webbe	Conservative	Death
Sheffield Hallam	10 May 1939	Louis Smith	Conservative	Roland Jennings	Conservative	Death
Down	10 May 1939	David Reid	UUP	James Little	UUP	Death
South Ayrshire	20 April 1939	James Brown	Labour	Alexander Sloan	Labour	Death
Kincardineshire and West Aberdeenshire	30 March 1939	Malcolm Barclay-Harvey	Conservative	Colin Thornton-Kemsley	Conservative	Resignation
Batley and Morley	9 March 1939	Willie Brooke	Labour	Hubert Beaumont	Labour	Death
Ripon	23 February 1939	John Waller Hills	Conservative	Christopher York	Conservative	Death
Holderness	15 February 1939	Samuel Savery	Conservative	Gurney Braithwaite	Conservative	Death
East Norfolk	26 January 1939	William Lygon	Liberal National	Frank Medlicott	Liberal National	Succession to the peerage
Kinross and Western Perthshire	21 December 1938	The Duchess of Atholl	Conservative/Ind Conservative	William McNair Snadden	Conservative	Sought re-election in opposition to government foreign policy
Fylde	30 November 1938	Edward Stanley	Conservative	Claude Lancaster	Conservative	Death
Lewisham West	24 November 1938	Philip Dawson	Conservative	Henry Brooke	Conservative	Death
Doncaster	17 November 1938	Alfred Short	Labour	John Morgan	Labour	Death
Bridgwater	17 November 1938	Reginald Croom-Johnson	Conservative	Vernon Bartlett	Independent Progressive	Appointment as High Court Judge
Walsall	16 November 1938	Joseph Leckie	Liberal National	George Schuster	Liberal National	Death
Dartford	7 November 1938	Frank Edward Clarke	Conservative	Jennie Adamson	Labour	Death
Oxford	27 October 1938	Robert Bourne	Conservative	Quintin Hogg	Conservative	Death
Willesden East	28 July 1938	Daniel Somerville	Conservative	Samuel Hammersley	Conservative	Death
Barnsley	16 June 1938	John Potts	Labour	Frank Collindridge	Labour	Death
Stafford	9 June 1938	William Ormsby-Gore	Conservative	Peter Thorneycroft	Conservative	Succession to the peerage
West Derbyshire	2 June 1938	Edward Cavendish	Conservative	Henry Hunloke	Conservative	Succession to the peerage
Aylesbury	19 May 1938	Michael Beaumont	Conservative	Stanley Reed	Conservative	Resignation
Lichfield	5 May 1938	James Lovat-Fraser	National Labour	Cecil Poole	Labour	Death
Fulham West	6 April 1938	Cyril Cobb	Conservative	Edith Summerskill	Labour	Death
City of London	6 April 1938	Vansittart Bowater	Conservative	George Broadbridge	Conservative	Death
Combined Scottish Universities	25 February 1938	Ramsay MacDonald	National Labour	Sir John Anderson	National	Death
Ipswich	16 February 1938	John Ganzoni	Conservative	Richard Stokes	Labour	Elevation to the peerage
Pontypridd	11 February 1938	David Lewis Davies	Labour	Arthur Pearson	Labour	Death
Farnworth	27 January 1938	Guy Rowson	Labour	George Tomlinson	Labour	Death
Hastings	24 November 1937	Eustace Percy	Conservative	Maurice Hely-Hutchinson	Conservative	Resignation
Islington North	13 October 1937	Albert Goodman	Conservative	Leslie Haden-Guest	Labour	Death
Glasgow Springburn	7 September 1937	George Hardie	Labour	Agnes Hardie	Labour	Death
North Dorset	13 July 1937	Cecil Hanbury	Conservative	Angus Hambro	Conservative	Death
Chertsey	2 July 1937	Archibald Boyd-Carpenter	Conservative	Arthur Marsden	Conservative	Death
Kingston-upon-Thames	1 July 1937	Frederick Penny	Conservative	Percy Royds	Conservative	Elevation to the peerage
St Ives	30 June 1937	Walter Runciman	Liberal National	Alec Beechman	Liberal National	Elevation to the peerage
Ilford	29 June 1937	George Hamilton	Conservative	Geoffrey Hutchinson	Conservative	Resignation
Bewdley	29 June 1937	Stanley Baldwin	Conservative	Roger Conant	Conservative	Elevation to the peerage
Holland with Boston	24 June 1937	James Blindell	Liberal National	Herbert Butcher	Liberal National	Death
Hemel Hempstead	22 June 1937	John Davidson	Conservative	Frances Davidson	Conservative	Elevation to the peerage
Cheltenham	22 June 1937	Walter Preston	Conservative	Daniel Lipson	Independent Conservative	Resignation
Plymouth Drake	15 June 1937	Frederick Guest	Conservative	Henry Guest	Conservative	Death
Buckingham	11 June 1937	George Bowyer	Conservative	John Whiteley	Conservative	Elevation to the peerage
Glasgow Hillhead	10 June 1937	Robert Horne	Conservative	James Reid	Conservative	Elevation to the peerage
York	6 May 1937	Lawrence Lumley	Conservative	Charles Wood	Conservative	Appointed Governor of Bombay
Birmingham West	29 April 1937	Austen Chamberlain	Conservative	Walter Higgs	Conservative	Death
Wandsworth Central	29 April 1937	Henry Jackson	Conservative	Harry Nathan	Labour	Death
Stalybridge and Hyde	28 April 1937	Philip Dunne	Conservative	Horace Trevor-Cox	Conservative	Resignation
Farnham	23 March 1937	Arthur Samuel	Conservative	Godfrey Nicholson	Conservative	Elevation to the peerage
Tonbridge	23 March 1937	Herbert Henry Spender-Clay	Conservative	Adrian Baillie	Conservative	Death
Combined English Universities	22 March 1937	Reginald Craddock	Conservative	Edmund Harvey	Independent Progressive	Death
Oxford University	27 February 1937	Lord Hugh Cecil	Conservative	Arthur Salter	Independent	Appointment as Provost of Eton College
Richmond-upon-Thames	25 February 1937	William Ray	Conservative	George Harvie-Watt	Conservative	Resignation
Manchester Gorton	18 February 1937	Joseph Compton	Labour	William Wedgwood Benn	Labour	Death
St Pancras North	4 February 1937	Ian Fraser	Conservative	Robert Grant-Ferris	Conservative	Resignation
Greenock	26 November 1936	Godfrey Collins	Liberal National	Robert Gibson	Labour	Death
Preston	25 November 1936	William Kirkpatrick	Conservative	Edward Cobb	Conservative	Resignation
Clay Cross	5 November 1936	Alfred Holland	Labour	George Ridley	Labour	Death
Birmingham Erdington	20 October 1936	John Eales	Conservative	John Wright	Conservative	Death
East Grinstead	23 July 1936	Henry Cautley	Conservative	Ralph Clarke	Conservative	Elevation to the peerage
Balham and Tooting	23 July 1936	Sir Alfred Butt, 1st Baronet	Conservative	George Doland	Conservative	Resignation
Derby	9 July 1936	J. H. Thomas	National Labour	Philip Noel-Baker	Labour	Resigned over budget leak
Lewes	18 June 1936	John Loder	Conservative	Tufton Beamish	Conservative	Elevation to the peerage
Peckham	6 May 1936	David Beatty	Conservative	Lewis Silkin	Labour	Succession to peerage
Llanelli	26 March 1936	John Williams	Labour	Jim Griffiths	Labour	Death
Dunbartonshire	18 March 1936	Archibald Cochrane	Conservative	Thomas Cassells	Labour	Governor of Bermuda
Ross and Cromarty	10 February 1936	Sir Ian Macpherson	Liberal National	Malcolm MacDonald	National Labour	Peerage to provide seat for Dominions Secretary Malcolm MacDonald
Combined Scottish Universities	31 January 1936	Noel Skelton	Conservative	Ramsay MacDonald	National Labour	Death
Dumfriesshire	12 September 1935	Joseph Hunter	Liberal / National Liberal	Henry Fildes	Liberal National	Death
Sevenoaks	20 July 1935	Edward Young	Conservative	Charles Ponsonby	Conservative	Created Baron Kennet
Liverpool West Toxteth	16 July 1935	Clyde Tabor Wilson	Conservative	Joseph Gibbins	Labour	Appointment as a Metropolitan Police Magistrate
Liverpool West Derby	6 July 1935	John Sandeman Allen	Conservative	David Maxwell Fyfe	Conservative	Death
City of London	26 June 1935	Edward Grenfell	Conservative	Alan Anderson	Conservative	Resigned, later created Baron St Just
Combined Scottish Universities	17–22 June 1935	John Buchan	Conservative	John Graham Kerr	Conservative	Appointed Governor General of Canada
Aberdeen South	21 May 1935	Sir Frederick Thomson	Conservative	Sir Douglas Thomson	Conservative	Death
Tamworth	10 May 1935	Arthur Steel-Maitland	Conservative	John Mellor	Conservative	Death
Edinburgh West	2 May 1935	Wilfrid Normand	Conservative	Thomas Cooper	Conservative	Appointed as Lord Justice General
Perth	16 April 1935	Lord Scone	Liberal National	Francis Norie-Miller	Liberal National	Succession to the peerage
Eastbourne	29 March 1935	John Slater	Conservative	Charles Taylor	Conservative	Death
Norwood	14 March 1935	Walter Greaves-Lord	Conservative	Duncan Sandys	Conservative	Resignation
Cambridge University	23 February 1935	Godfrey Wilson	Conservative	Kenneth Pickthorn	Conservative	Resignation
Liverpool Wavertree	6 February 1935	Ronald Nall-Cain	Conservative	Joseph Cleary	Labour	Succession to the peerage
Putney	28 November 1934	Samuel Samuel	Conservative	Marcus Samuel	Conservative	Death
