constituency	name	party
Dunfermline Burghs	William McLean Watson	Labour
Durham	Charles Grey	Labour
Ealing East	Sir Frank Sanderson, Bt	Conservative
Ealing West	James Hudson	Labour Co-op
Eastbourne	Charles Taylor	Conservative
East Grinstead	Ralph Clarke	Conservative
East Ham North	Percy Daines	Labour Co-op
East Ham South	Alfred Barnes	Labour Co-op
Ebbw Vale	Aneurin Bevan	Labour
Eccles	William Proctor	Labour
Eddisbury	Sir John Barlow, Bt	Liberal National
Edinburgh Central	Andrew Gilzean	Labour
Edinburgh East	Frederick Pethick-Lawrence	Labour
Edinburgh North	George Willis	Labour
Edinburgh South	Sir William Darling	Conservative
Edinburgh West	Ian Clark Hutchison	Conservative
Edmonton	Evan Durbin	Labour
Elland	Frederick Cobb	Labour
Enfield	Ernest Davies	Labour
Epping	Leah Manning	Labour
Epsom	Sir Archibald Southby, Bt	Conservative
Essex South East	Ray Gunter	Labour
Eton and Slough	Benn Levy	Labour
Evesham	Rupert de la Bère	Conservative
Exeter	John Maude	Conservative
Eye	Edgar Granville	Liberal
Fareham	Sir Dymoke White, Bt	Conservative
Farnham	Godfrey Nicholson	Conservative
Farnworth	George Tomlinson	Labour
Faversham	Percy Wells	Labour
Fermanagh and Tyrone 	Patrick Cunningham	Irish Nationalist
Fermanagh and Tyrone 	Anthony Mulvey	Irish Nationalist
Fife East	James Henderson-Stewart	Liberal National
Fife West	Willie Gallacher	Communist
Finchley	John Crowder	Conservative
Finsbury	John Platts-Mills	Labour
Flintshire	Nigel Birch	Conservative
Forest of Dean	M. Philips Price	Labour
Forfarshire	Hon. Simon Ramsay	Conservative
Frome	Walter Farthing	Labour
Fulham East	Michael Stewart	Labour
Fulham West	Edith Summerskill	Labour
Fylde	Claude Lancaster	Conservative
Gainsborough	Harry Crookshank	Conservative
Galloway	John Mackie	Independent Conservative
Gateshead	Konni Zilliacus	Labour
Gillingham	Joseph Binns	Labour
Glasgow Bridgeton	James Maxton	Independent Labour Party
Glasgow Camlachie	Campbell Stephen	Independent Labour Party
Glasgow Cathcart	Francis Beattie	Conservative
Glasgow Central	James Hutchison	Conservative
Glasgow Gorbals	George Buchanan	Labour
Glasgow Govan	Neil Maclean	Labour
Glasgow Hillhead	James Reid	Conservative
Glasgow Kelvingrove	John Williams	Labour
Glasgow Maryhill	William Hannan	Labour
Glasgow Partick	Arthur Young	Conservative
Glasgow Pollok	Thomas Galbraith	Conservative
Glasgow St. Rollox	William Leonard	Labour Co-op
Glasgow Shettleston	John McGovern	Independent Labour Party
Glasgow Springburn	John Forman	Labour Co-op
Glasgow Tradeston	John Rankin	Labour Co-op
Gloucester	Moss Turner-Samuels	Labour
Gower	David Grenfell	Labour
Grantham	Denis Kendall	Independent
Gravesend	Garry Allighan	Labour
Great Yarmouth	Ernest Kinghorn	Labour
Greenock	Hector McNeil	Labour
Greenwich	Joseph Reeves	Labour
Grimsby	Kenneth Younger	Labour
Guildford	Sir John Jarvis, Bt	Conservative
Hackney Central	Harry Hynd	Labour
Hackney North	Henry Edwin Goodrich	Labour
Hackney South	Herbert Butler	Labour
Halifax	Dryden Brook	Labour
Hamilton	Tom Fraser	Labour
Hammersmith North	Denis Pritt	Independent Labour
Hammersmith South	William Thomas Adams	Labour Co-op
Hampstead	Charles Challen	Conservative
Hanley	Barnett Stross	Labour
Harborough	Humphrey Attewell	Labour
Harrow East	Frederick Skinnard	Labour
Harrow West	Norman Bower	Conservative
The Hartlepools	D. T. Jones	Labour
Harwich	Sir Stanley Holmes	Liberal National
Hastings	Neill Cooper-Key	Conservative
Hemel Hempstead	Frances Davidson	Conservative
Hemsworth	George Griffiths	Labour
Hendon North	Barbara Ayrton-Gould	Labour
Hendon South	Sir Hugh Lucas-Tooth, Bt	Conservative
Henley	Sir Gifford Fox, Bt	Conservative
Hereford	James Thomas	Conservative
Hertford	Derek Walker-Smith	Conservative
Heston and Isleworth	William Williams	Labour
Hexham	Douglas Clifton Brown	Conservative
Heywood and Radcliffe	John Whittaker	Labour
High Peak	Hugh Molson	Conservative
Hitchin	Philip Asterley Jones	Labour
Holborn	Hon. Max Aitken	Conservative
Holderness	Gurney Braithwaite	Conservative
Holland-with-Boston	Herbert Butcher	Liberal National
Honiton	Cedric Drewe	Conservative
Horncastle	John Maitland	Conservative
Hornchurch	Geoffrey Bing	Labour
Hornsey	David Gammans	Conservative
Horsham	The Earl Winterton	Conservative
Houghton-le-Spring	Billy Blyton	Labour
Howdenshire	Clifford Glossop	Conservative
Huddersfield	Joseph Mallalieu	Labour
Huntingdonshire	David Renton	Liberal National
Hythe	Harry Mackeson	Conservative
Ilford, North	Mabel Ridealgh	Labour Co-op
Ilford, South	Jim Ranger	Labour
Ilkeston	George Oliver	Labour
Ince	Tom Brown	Labour
Inverness	Sir Murdo Macdonald	Indep. National Liberal
Ipswich	Richard Stokes	Labour
Isle of Ely	Harry Legge-Bourke	Conservative
Isle of Thanet	Hon. Edward Carson	Conservative
Isle of Wight	Peter Macdonald	Conservative
Islington East	Eric Fletcher	Labour
Islington North	Leslie Haden Guest	Labour
Islington South	William Cluse	Labour
Islington West	Frederick Montague	Labour
Jarrow	Ellen Wilkinson	Labour
Keighley	Ivor Thomas	Labour
Kennington	Charles Gibson	Labour
Kensington North	George Rogers	Labour
Kensington South	Sir William Davison	Conservative
Kettering	Gilbert Mitchison	Labour
Kidderminster	Louis Tolley	Labour
Kilmarnock	Clarice Shaw	Labour
King's Lynn	Frederick Wise	Labour
Kingston upon Hull Central	Mark Hewitson ×	Labour
Kingston upon Hull East	Harry Pursey	Labour
Kingston upon Hull North West	Kim Mackay	Labour
Kingston upon Hull South West	Sydney Smith	Labour
Kingston-upon-Thames	John Boyd-Carpenter	Conservative
Kingswinford	Arthur Henderson	Labour
Kinross & West Perthshire	William McNair Snadden	Conservative
Kirkcaldy Burghs	Thomas Hubbard	Labour
Knutsford	Walter Bromley-Davenport	Conservative
Lambeth North	George Strauss	Labour
Lanark	Tom Steele	Labour
Lanarkshire North	Margaret Herbison	Labour
Lancaster	Fitzroy Maclean	Conservative
Leeds Central	George Porter	Labour
Leeds North	Osbert Peake	Conservative
Leeds North East	Alice Bacon	Labour
Leeds South	Hugh Gaitskell	Labour
Leeds South East	James Milner	Labour
Leeds West	Tom Stamford	Labour
Leek	Harold Davies	Labour
Leicester East	Terence Donovan	Labour
Leicester South	Bert Bowden	Labour
Leicester West	Barnett Janner	Labour
Leigh	Harold Boardman	Labour
Leith	James Hoy	Labour
Leominster	Archer Baldwin	Conservative
Lewes	Tufton Beamish	Conservative
Lewisham East	Herbert Morrison	Labour
Lewisham West	Arthur Skeffington	Labour
Leyton East	Albert Bechervaise	Labour
Leyton West	Reginald Sorensen	Labour
Lichfield	Cecil Poole	Labour
Lincoln	George Deer	Labour
Linlithgowshire	George Mathers	Labour
Liverpool East Toxteth	Patrick Buchan-Hepburn	Conservative
Liverpool Edge Hill	Richard Clitherow	Labour
Liverpool Everton	Bertie Kirby	Labour
Liverpool Exchange	Bessie Braddock	Labour
Liverpool Fairfield	Arthur Moody	Labour
Liverpool Kirkdale	William Keenan	Labour
Liverpool Scotland	David Logan	Labour
Liverpool Walton	James Haworth	Labour
Liverpool Wavertree	Victor Raikes	Conservative
Liverpool West Derby	Sir David Maxwell Fyfe	Conservative
Liverpool West Toxteth	Joseph Gibbins	Labour
Llandaff and Barry	Lynn Ungoed-Thomas	Labour
Llanelly	Jim Griffiths	Labour
London University	Sir Ernest Graham-Little	Independent
Londonderry	Sir Ronald Ross, Bt	Ulster Unionist
Lonsdale	Sir Ian Fraser	Conservative
Loughborough	Mont Follick	Labour
Louth	Cyril Osborne	Conservative
Lowestoft	Edward Evans	Labour
Ludlow	Uvedale Corbett	Conservative
Luton	William Warbey	Labour
Macclesfield	Arthur Vere Harvey	Conservative
Maidstone	Alfred Bossom	Conservative
Maldon	Tom Driberg	Labour
Manchester Ardwick	Joseph Henderson	Labour
Manchester Blackley	Jack Diamond	Labour
Manchester Clayton	Harry Thorneycroft	Labour
Manchester Exchange	Harold Lever	Labour
Manchester Gorton	William Oldfield	Labour
Manchester Hulme	Frederick Lee	Labour
Manchester Moss Side	William Griffiths	Labour
Manchester Platting	Hugh Delargy	Labour
Manchester Rusholme	Lester Hutchinson	Labour
Manchester Withington	Edward Fleming	Conservative
Mansfield	Bernard Taylor	Labour
Melton	Anthony Nutting	Conservative
Merioneth	Emrys Roberts	Liberal
Merthyr	S. O. Davies	Labour
Middlesbrough East	Alfred Edwards	Labour
Middlesbrough West	Geoffrey Cooper	Labour
Middleton and Prestwich	Ernest Gates	Conservative
Midlothian North	Lord John Hope	Conservative
Midlothian South and Peebles	David Pryde	Labour
Mitcham	Tom Braddock	Labour
Monmouth	Leslie Pym	Conservative
Montgomery	Clement Davies	Liberal
Montrose Burghs	Hon. John Maclay	Liberal National
Moray & Nairn	Hon. James Stuart	Conservative
Morpeth	Robert Taylor	Labour
Mossley	George Woods	Labour Co-op
Motherwell	Alexander Anderson	Labour
Neath	D. J. Williams	Labour
Nelson and Colne	Sydney Silverman	Labour
Newark	Sidney Shephard	Conservative
Newbury	Anthony Hurd	Conservative
Newcastle-under-Lyme	John Mack	Labour
Newcastle-upon-Tyne Central	Lyall Wilkes	Labour
Newcastle-upon-Tyne East	Arthur Blenkinsop	Labour
Newcastle-upon-Tyne North	Sir Cuthbert Headlam, Bt	Conservative
Newcastle-upon-Tyne West	Ernest Popplewell	Labour
New Forest and Christchurch	Oliver Crosthwaite-Eyre	Conservative
Newport	Peter Freeman	Labour
Newton	Sir Robert Young	Labour
Norfolk East	Frank Medlicott	Liberal National
Norfolk North	Edwin Gooch	Labour
Norfolk South	Christopher Mayhew	Labour
Norfolk South-West	Sidney Dye	Labour
Normanton	Tom Smith	Labour
Northampton	Reginald Paget	Labour
Northwich	John Foster	Conservative
Norwich 	Lady Noel-Buxton	Labour
Norwich 	John Paton	Labour
Norwood	Ron Chamberlain	Labour
Nottingham Central	Geoffrey de Freitas	Labour
Nottingham East	James Harrison	Labour
Nottingham South	Norman Smith	Labour Co-op
Nottingham West	Tom O'Brien	Labour
Nuneaton	Frank Bowles	Labour
Ogmore	Edward Williams	Labour
Oldham 	Frank Fairhurst	Labour
Oldham 	Leslie Hale	Labour
Orkney and Shetland	Basil Neven-Spence	Conservative
Ormskirk	Harold Wilson	Labour
Orpington	Sir Waldron Smithers	Conservative
Oswestry	Oliver Poole	Conservative
Oxford	Hon. Quintin Hogg	Conservative
Oxford University 	Sir Arthur Salter	Independent
Oxford University 	Alan Herbert	Independent
Paddington North	Sir Noel Mason-Macfarlane	Labour
Paddington South	Ernest Augustus Taylor	Conservative
Paisley	Viscount Corvedale	Labour
Peckham	Lewis Silkin	Labour
Pembrokeshire	Hon. Gwilym Lloyd George	Liberal
Penistone	Henry McGhee	Labour
Penrith and Cockermouth	Alan Gandar-Dower	Conservative
Penryn and Falmouth	Evelyn King	Labour
Perth	Alan Gomme-Duncan	Conservative
Peterborough	Stanley Tiffany	Labour Co-op
Petersfield	George Jeffreys	Conservative
Plymouth Devonport	Michael Foot	Labour
Plymouth Drake	Hubert Medland	Labour
Plymouth Sutton	Lucy Middleton	Labour
Pontefract	Percy Barstow	Labour
Pontypool	Arthur Jenkins	Labour
Pontypridd	Arthur Pearson	Labour
Poplar South	William Henry Guy	Labour
Portsmouth Central	Julian Snow	Labour
Portsmouth North	Donald Bruce	Labour
Portsmouth South	Sir Jocelyn Lucas, Bt	Conservative
Preston 	Samuel Segal	Labour
Preston 	John William Sunderland	Labour
Pudsey and Otley	Malcolm Stoddart-Scott	Conservative
Putney	Hugh Linstead	Conservative
Queen's University of Belfast	Douglas Savory	Ulster Unionist
Reading	Ian Mikardo	Labour
Reigate	Gordon Touche	Conservative
Renfrewshire, East	Guy Lloyd	Conservative
Renfrewshire, West	Thomas Scollan	Labour
Rhondda East	William Mainwaring	Labour
Rhondda West	William John	Labour
Richmond, Surrey	George Harvie-Watt	Conservative
Richmond, Yorkshire	Sir Thomas Dugdale, Bt	Conservative
Ripon	Christopher York	Conservative
Rochdale	Hyacinth Morgan	Labour
Romford	Thomas Macpherson	Labour
Ross and Cromarty	John MacLeod	Indep. National Liberal
Rossendale	George Henry Walker	Labour
Rother Valley	David Griffiths	Labour
Rotherham	William Dobbie	Labour
Rotherhithe	Sir Ben Smith	Labour
Rothwell	Thomas Brooks	Labour
Roxburgh and Selkirk	Lord William Montagu Douglas Scott	Conservative
Royton	Harold Sutcliffe	Conservative
Rugby	William Brown	Independent
Rushcliffe	Florence Paton	Labour
Rutherglen	Gilbert McAllister	Labour
Rutland and Stamford	Lord Willoughby de Eresby	Conservative
Rye	William Cuthbert	Conservative
Saffron Walden	Rab Butler	Conservative
St Albans	Cyril Dumpleton	Labour
St Helens	Hartley Shawcross	Labour
St Ives	Alec Beechman	Liberal National
St Marylebone	Sir Wavell Wakefield	Conservative
St Pancras North	George House	Labour
St Pancras South East	Santo Jeger	Labour
St Pancras South West	Haydn Davies	Labour
Salford North	William McAdam	Labour
Salford South	Edward Hardy	Labour
Salford West	Charles Royle	Labour
Salisbury	John Morrison	Conservative
Scarborough and Whitby	Alexander Spearman	Conservative
Seaham	Manny Shinwell	Labour
Sedgefield	John Leslie	Labour
Sevenoaks	Charles Ponsonby	Conservative
Sheffield, Attercliffe	John Hynd	Labour
Sheffield, Brightside	Fred Marshall	Labour
Sheffield, Central	Harry Morris	Labour
Sheffield, Ecclesall	Peter Roberts	Conservative
Sheffield, Hallam	Roland Jennings	Conservative
Sheffield, Hillsborough	A. V. Alexander	Labour Co-op
Sheffield, Park	Thomas Burden	Labour
Shipley	Arthur Creech Jones	Labour
Shoreditch	Ernest Thurtle	Labour
Shrewsbury	John Langford-Holt	Conservative
Skipton	Burnaby Drayson	Conservative
Smethwick	Alfred Dobbs	Labour
Solihull	Martin Lindsay	Conservative
Southall	Walter Ayles	Labour
Southampton 	Ralph Morley	Labour
Southampton 	Tommy Lewis	Labour
Southend-on-Sea	Henry Channon	Conservative
South Molton	Hon. George Lambert	Liberal National
Southport	Robert Hudson	Conservative
South Shields	James Chuter Ede	Labour
Southwark Central	John Hanbury Martin	Labour
Southwark North	George Isaacs	Labour
Southwark South East	Thomas Naylor	Labour
Sowerby	John Belcher	Labour
Spelthorne	George Pargiter	Labour
Spennymoor	James Murray	Labour
Spen Valley	Granville Maynard Sharp	Labour
Stafford	Stephen Swingler	Labour
Stalybridge and Hyde	Gordon Lang	Labour
Stepney Limehouse	Clement Attlee	Labour
Stepney Mile End	Phil Piratin	Communist
Stirling and Falkirk	Joseph Westwood	Labour
Stirlingshire East and Clackmannan	Arthur Woodburn	Labour
Stirlingshire West	Alfred Balfour	Labour
Stockport 	Sir Arnold Gridley	Conservative
Stockport 	Norman Hulbert	Conservative
Stockton on Tees	George Chetwynd	Labour
Stoke Newington	David Weitzman	Labour
Stoke-on-Trent	Ellis Smith	Labour
Stone	Hugh Fraser	Conservative
Stourbridge	Arthur Moyle	Labour
Streatham	David Robertson	Conservative
Stretford	Herschel Austin	Labour
Stroud	Ben Parkin	Labour
Sudbury	Roland Hamilton	Labour
Sunderland 	Fred Willey	Labour
Sunderland 	Richard Ewart	Labour
Surrey East	Hon. Michael Astor	Conservative
Sutton and Cheam	Sydney Marshall	Conservative
Sutton Coldfield	Sir John Mellor, Bt	Conservative
Swansea East	David Mort	Labour
Swansea West	Percy Morris	Labour
Swindon	Thomas Reid	Labour
Taunton	Victor Collins	Labour
Tavistock	Henry Studholme	Conservative
Thirsk and Malton	Robin Turton	Conservative
Thornbury	Joseph Alpass	Labour
Thurrock	Leslie Solley	Labour
Tiverton	Derick Heathcoat-Amory	Conservative
Tonbridge	Gerald Wellington Williams	Conservative
Torquay	Charles Williams	Conservative
Totnes	Ralph Rayner	Conservative
Tottenham North	Robert Morrison	Labour Co-op
Tottenham South	Frederick Messer	Labour
Twickenham	Edward Keeling	Conservative
Tynemouth	Grace Colman	Labour
University of Wales	William John Gruffydd	Liberal
Uxbridge	Frank Beswick	Labour Co-op
Wakefield	Arthur Greenwood	Labour
Wallasey	Ernest Marples	Conservative
Wallsend	John McKay	Labour
Walsall	William Wells	Labour
Walthamstow East	Harry Wallace	Labour
Walthamstow West	Valentine McEntee	Labour
Wandsworth Central	Ernest Bevin	Labour
Wansbeck	Alfred Robens	Labour
Warrington	Edward Porter	Labour
Warwick and Leamington	Anthony Eden	Conservative
Waterloo	Malcolm Bullock	Conservative
Watford	John Freeman	Labour
Wednesbury	Stanley Evans	Labour
Wellingborough	George Lindgren	Labour
Wells	Dennis Coleridge Boles	Conservative
Wembley North	Charles Hobson	Labour
Wembley South	Clarence Barton	Labour
Wentworth	Wilfred Paling	Labour
West Bromwich	John Dugdale	Labour
West Ham Plaistow	Elwyn Jones	Labour
West Ham Silvertown	Louis Comyns	Labour
West Ham Stratford	Henry Nicholls	Labour
West Ham Upton	Arthur Lewis	Labour
Westbury	Robert Grimston	Conservative
Western Isles	Malcolm Macmillan	Labour
Westhoughton	Rhys Davies	Labour
Westminster Abbey	Sir Harold Webbe	Conservative
Westminster St George's	Arthur Howard	Conservative
Westmorland	William Fletcher-Vane	Conservative
Weston-super-Mare	Ian Orr-Ewing	Conservative
Whitechapel	Walter Edwards	Labour
Whitehaven	Frank Anderson	Labour
Widnes	Christopher Shawcross	Labour
Wigan	William Foster	Labour
Willesden East	Maurice Orbach	Labour
Willesden West	Samuel Viant	Labour
Wimbledon	Arthur Palmer	Labour
Winchester	George Jeger	Labour
Windsor	Charles Mott-Radclyffe	Conservative
Wirral	Selwyn Lloyd	Conservative
Wolverhampton Bilston	Will Nally	Labour Co-op
Wolverhampton East	John Baird	Labour
Wolverhampton West	Billy Hughes	Labour
Woodbridge	Hon. John Hare	Conservative
Woodford	Winston Churchill	Conservative
Wood Green	Sir Beverley Baxter	Conservative
Woolwich East	George Hicks	Labour
Woolwich West	Henry Berry	Labour
Worcester	Hon. George Ward	Conservative
Workington	Fred Peart	Labour
Worthing	Otho Prior-Palmer	Conservative
The Wrekin	Ivor Owen Thomas	Labour
Wrexham	Robert Richards	Labour
Wycombe	John Haire	Labour
Yeovil	William Kingsmill	Conservative
York	John Corlett	Labour
