constituency	name	party
Glasgow Shettleston	John McGovern	Labour
Glasgow Springburn	John Forman	Co-op & Labour
Glasgow Tradeston	John Rankin	Co-op & Labour
Glasgow Woodside	William Gordon Bennett	Conservative
Gloucester	Moss Turner-Samuels	Labour
Gloucestershire South	Anthony Crosland	Labour
Gloucestershire West	M. Philips Price	Labour
Goole	George Jeger	Labour
Gosport and Fareham	Dr Reginald Bennett	Conservative
Gower	David Grenfell	Labour
Grantham	Joseph Godber	Conservative
Gravesend	Sir Richard Acland	Labour
Greenock	Hector McNeil	Labour
Greenwich	Joseph Reeves	Labour
Grimsby	Kenneth Younger	Labour
Guildford	George Nugent	Conservative
Hackney North and Stoke Newington	David Weitzman	Labour
Hackney South	Herbert Butler	Labour
Halifax	Dryden Brook	Labour
Haltemprice	Richard Law	Conservative
Hamilton	Tom Fraser	Labour
Hammersmith North	Frank Tomney	Labour
Hammersmith South	Thomas Williams	Co-op & Labour
Hampstead	Henry Brooke	Conservative
Harborough	John Baldock	Conservative
Harrogate	Christopher York	Conservative
Harrow Central	Patrick Bishop	Conservative
Harrow East	Ian Harvey	Conservative
Harrow West	Sir Albert Braithwaite	Conservative
The Hartlepools	D. T. Jones	Labour
Harwich	Sir Stanley Holmes	National Liberal
Hastings	Neill Cooper-Key	Conservative
Hayes and Harlington	Walter Ayles	Labour
Hemel Hempstead	Frances Davidson	Conservative
Hemsworth	Horace Holmes	Labour
Hendon North	Ian Orr-Ewing	Conservative
Hendon South	Sir Hugh Lucas-Tooth	Conservative
Henley	John Hay	Conservative
Hereford	James Thomas	Conservative
Hertford	Derek Walker-Smith	Conservative
Hertfordshire South-West	Gilbert Longden	Conservative
Heston and Isleworth	Reader Harris	Conservative
Hexham	Rupert Speir	Conservative
Heywood and Royton	Harold Sutcliffe	Conservative
High Peak	High Molson	Conservative
Hitchin	Nigel Fisher	Conservative
Holborn and St Pancras South	Dr Santo Jeger	Labour
Holland-with-Boston	Herbert Butcher	National Liberal & Conservative
Honiton	Cedric Drewe	Conservative
Horncastle	Cmdr John Maitland	Conservative
Hornchurch	Geoffrey Bing	Labour
Hornsey	David Gammans	Conservative
Horsham	Frederick Gough	Conservative
Houghton-le-Spring	Billy Blyton	Labour
Hove	Anthony Marlowe	Conservative
Huddersfield East	Joseph Mallalieu	Labour
Huddersfield West	Donald Wade	Liberal
Huntingdonshire	David Renton	National Liberal & Conservative
Huyton	Harold Wilson	Labour
Ilford North	Geoffrey Hutchinson	Conservative
Ilford South	Albert Cooper	Conservative
Ilkeston	George Oliver	Labour
Ince	Tom Brown	Labour
Inverness	Lord Malcolm Douglas-Hamilton	Conservative
Ipswich	Richard Stokes	Labour
Isle of Ely	Maj. Harry Legge-Bourke	Conservative
Isle of Thanet	Hon. Edward Carson	Conservative
Isle of Wight	Sir Peter Macdonald	Conservative
Islington East	Eric Fletcher	Labour
Islington North	Wilfred Fienburgh	Labour
Islington South-West	Albert Evans	Labour
Jarrow	Ernest Fernyhough	Labour
Keighley	Charles Hobson	Labour
Kensington North	George Rogers	Labour
Kensington South	Sir Patrick Spens	Conservative
Kettering	Gilbert Mitchison	Labour
Kidderminster	Gerald Nabarro	Conservative
Kilmarnock	Willie Ross	Labour
King's Lynn	Cmdr. Ronald Scott-Miller	Conservative
Kingston upon Hull Central	Mark Hewitson	Labour
Kingston upon Hull East	Cmdr. Harry Pursey	Labour
Kingston upon Hull North	Austen Hudson	Conservative
Kingston-upon-Thames	John Boyd-Carpenter	Conservative
Kinross and West Perthshire	William McNair Snadden	Conservative
Kirkcaldy Burghs	Thomas Hubbard	Labour
Knutsford	Lt.-Col. Walter Bromley-Davenport	Conservative
Lanark	Patrick Maitland	Conservative
Lanarkshire North	Margaret Herbison	Labour
Lancaster	Brig. Fitzroy Maclean	Conservative
Leeds Central	George Porter	Labour
Leeds North-East	Alice Bacon	Labour
Leeds North	Osbert Peake	Conservative
Leeds North-West	Donald Kaberry	Conservative
Leeds South	Hugh Gaitskell	Labour
Leeds South-East	Maj. James Milner	Labour
Leeds West	Charles Pannell	Labour
Leek	Harold Davies	Labour
Leicester North-East	Lynn Ungoed-Thomas	Labour
Leicester North-West	Barnett Janner	Labour
Leicester South-East	Capt. Charles Waterhouse	Conservative
Leicester South-West	Herbert Bowden	Labour
Leigh	Harold Boardman	Labour
Leominster	Archer Baldwin	Conservative
Lewes	Maj. Tufton Beamish	Conservative
Lewisham North	Sir Austin Hudson, Bt.	Conservative
Lewisham South	Herbert Morrison	Labour
Lewisham West	Henry Price	Conservative
Leyton	Reginald Sorensen	Labour
Lichfield and Tamworth	Julian Snow	Labour
Lincoln	Geoffrey de Freitas	Labour
Liverpool Edge Hill	Arthur Irvine	Labour
Liverpool Exchange	Bessie Braddock	Labour
Liverpool Garston	Victor Raikes	Conservative
Liverpool Kirkdale	William Keenan	Labour
Liverpool Scotland	David Logan	Labour
Liverpool Toxteth	Reginald Bevins	Conservative
Liverpool Walton	Kenneth Thompson	Conservative
Liverpool Wavertree	John Tilney	Conservative
Liverpool West Derby	Sir David Maxwell Fyfe	Conservative
Llanelli	Jim Griffiths	Labour
Londonderry	William Wellwood	Ulster Unionist
Loughborough	Mont Follick	Labour
Louth	Cyril Osborne	Conservative
Lowestoft	Edward Evans	Labour
Ludlow	Christopher Holland-Martin	Conservative
Luton	Dr Charles Hill	Conservative & National Liberal
Macclesfield	Air Cdre. Arthur Vere Harvey	Conservative
Maidstone	Alfred Bossom	Conservative
Maldon	Tom Driberg	Labour
Manchester Ardwick	Leslie Lever	Labour
Manchester Blackley	Eric Johnson	Conservative
Manchester Cheetham	Harold Lever	Labour
Manchester Clayton	Harry Thorneycroft	Labour
Manchester Exchange	William Griffiths	Labour
Manchester Gorton	William Oldfield	Labour
Manchester Moss Side	Florence Horsbrugh	Conservative
Manchester Withington	Sir Robert Cary	Conservative
Manchester Wythenshawe	Eveline Hill	Conservative
Mansfield	Bernard Taylor	Labour
Melton	Anthony Nutting	Conservative
Merioneth	Thomas Jones, Baron Maelor	Labour
Merthyr Tydfil	S. O. Davies	Labour
Merton and Morden	Capt. Robert Ryder, VC	Conservative
Middlesbrough East	Hilary Marquand	Labour
Middlesbrough West	Jocelyn Simon	Conservative
Middleton and Prestwich	Sir John Barlow, Bt.	Conservative
Midlothian and Peebles	David Pryde	Labour
Mitcham	Robert Carr	Conservative
Monmouth	Peter Thorneycroft	Conservative
Montgomery	Clement Davies	Liberal
Moray and Nairn	Hon. James Stuart	Conservative
Morecambe and Lonsdale	Sir Ian Fraser	Conservative
Morpeth	Robert Taylor	Labour
Motherwell	Alexander Anderson	Labour
Neath	D. J. Williams	Labour
Nelson and Colne	Sydney Silverman	Labour
Newark	George Deer	Labour
Newbury	Anthony Hurd	Conservative
Newcastle-under-Lyme	Stephen Swingler	Labour
Newcastle upon Tyne Central	Edward Short	Labour
Newcastle upon Tyne East	Arthur Blenkinsop	Labour
Newcastle upon Tyne North	Hon. Gwilym Lloyd George	Liberal & Conservative
Newcastle upon Tyne West	Ernest Popplewell	Labour
New Forest	Col. Oliver Crosthwaite-Eyre	Conservative
Newport	Peter Freeman	Labour
Newton	Frederick Lee	Labour
Norfolk Central	Brig. Frank Medlicott	National Liberal & Conservative
Norfolk North	Edwin Gooch	Labour
Norfolk South	Peter Baker	Conservative
Norfolk, South-West	Denys Bullard	Conservative
Normanton	Albert Roberts	Labour
Northampton	Reginald Paget	Labour
Northamptonshire South	Reginald Manningham-Buller	Conservative
Northwich	John Foster	Conservative
Norwich, North	John Paton	Labour
Norwich, South	Henry Strauss	Conservative
Norwood	Brig. John Smyth, VC	Conservative
Nottingham Central	Ian Winterbottom	Labour
Nottingham East	James Harrison	Labour
Nottingham North-West	Tom O'Brien	Labour
Nottingham South	Norman Smith	Co-op & Labour
Nuneaton	Frank Bowles	Labour
Ogmore	Walter Padley	Labour
Oldbury and Halesowen	Arthur Moyle	Labour
Oldham East	Ian Horobin	Conservative
Oldham West	Leslie Hale	Labour
Orkney and Shetland	Jo Grimond	Liberal
Ormskirk	Sir Arthur Salter	Conservative
Orpington	Sir Waldron Smithers	Conservative
Oswestry	Hon. David Ormsby-Gore	Conservative
Oxford	Lawrence Turner	Conservative
Paddington North	William J. Field	Labour
Paddington South	Robert Allan	Conservative
Paisley	Douglas Johnston	Labour
Peckham	Freda Corbet	Labour
Pembrokeshire	Desmond Donnelly	Labour
Penistone	Henry McGhee	Labour
Penrith and the Border	Robert Scott	Conservative
Perth and East Perthshire	Col. Alan Gomme-Duncan	Conservative
Peterborough	Harmar Nicholls	Conservative
Petersfield	Peter Legh	Conservative
Plymouth Devonport	Michael Foot	Labour
Plymouth Sutton	Jakie Astor	Conservative
Pontefract	George Sylvester	Labour
Pontypool	Granville West	Labour
Pontypridd	Arthur Pearson	Labour
Poole	Richard Pilkington	Conservative
Poplar	Charles Key	Labour
Portsmouth Langstone	Geoffrey Stevens	Conservative
Portsmouth South	Sir Jocelyn Lucas	Conservative
Portsmouth West	Brig. Terence Clarke	Conservative
Preston North	Julian Amery	Conservative
Preston South	Edward Shackleton	Labour
Pudsey	Col. Cyril Banks	Conservative
Putney	Hugh Linstead	Conservative
Reading, North	Frederic Bennett	Conservative
Reading, South	Ian Mikardo	Labour
Reigate	John Vaughan-Morgan	Conservative
Renfrewshire, East	Maj. Guy Lloyd	Conservative
Renfrewshire, West	John Maclay	National Liberal & Conservative
Rhondda East	William Mainwaring	Labour
Rhondda West	Iorwerth Thomas	Labour
Richmond 	Sir Thomas Dugdale	Conservative
Richmond upon Thames	Sir George Harvie-Watt	Conservative
Ripon	Col. Malcolm Stoddart-Scott	Conservative
Rochdale	Wentworth Schofield	Conservative
Rochester and Chatham	Arthur Bottomley	Labour
Romford	Lt.-Col. John Lockwood	Conservative
Ross and Cromarty	Capt. John MacLeod	Liberal & Conservative
Rossendale	Tony Greenwood	Labour
Rotherham	Jack Jones	Labour
Rother Valley	David Griffiths	Labour
Rowley Regis and Tipton	Arthur Henderson	Labour
Roxburgh and Selkirk	Charles Donaldson	Conservative
Rugby	James Johnson	Labour
Ruislip-Northwood	Petre Crowder	Conservative
Runcorn	Dennis Vosper	Conservative
Rushcliffe	Col. Martin Redmayne	Conservative
Rutherglen	Richard Brooman-White	Conservative
Rutland and Stamford	Roger Conant	Conservative
Saffron Walden	Rab Butler	Conservative
St Albans	Hon. John Grimston	Conservative
St Helens	Sir Hartley Shawcross	Labour
St Ives	Hon. Greville Howard	Conservative & Nat. Liberal
St Marylebone	Sir Wavell Wakefield	Conservative
St Pancras North	Kenneth Robinson	Labour
Salford East	Edward Hardy	Labour
Salford West	Charles Royle	Labour
Salisbury	John Morrison	Conservative
Scarborough and Whitby	Alexander Spearman	Conservative
Sedgefield	Joseph Slater	Labour
Sevenoaks	John Rodgers	Conservative
Sheffield, Attercliffe	John Hynd	Labour
Sheffield, Brightside	Richard Winterbottom	Labour
Sheffield, Hallam	Roland Jennings	Conservative & Liberal
Sheffield, Heeley	Maj. Peter Roberts	Conservative & Liberal
Sheffield, Hillsborough	George Darling	Co-op & Labour
Sheffield, Neepsend	Sir Frank Soskice	Labour
Sheffield, Park	Fred Mulley	Labour
Shipley	Geoffrey Hirst	Conservative
Shoreditch and Finsbury	Ernest Thurtle	Labour
Shrewsbury	John Langford-Holt	Conservative
Skipton	Burnaby Drayson	Conservative
Smethwick	Patrick Gordon-Walker	Labour
Solihull	Martin Lindsay	Conservative
Somerset North	Edwin Leather	Conservative
Southall	George Pargiter	Labour
Southampton, Itchen	Ralph Morley	Labour
Southampton, Test	Horace King	Labour
Southend East	Stephen McAdden	Conservative
Southend West	Henry Channon	Conservative
Southgate	Beverley Baxter	Conservative
Southport	Robert Hudson	Conservative
South Shields	James Chuter Ede	Labour
Southwark	George Isaacs	Labour
Sowerby	Douglas Houghton	Labour
Spelthorne	Beresford Craddock	Conservative
Stafford and Stone	Hon. Hugh Fraser	Conservative
Stalybridge and Hyde	Fred Blackburn	Labour
Stepney	Walter Edwards	Labour
Stirling and Falkirk	Malcolm MacPherson	Labour
Stirlingshire East and Clackmannan	Arthur Woodburn	Labour
Stirlingshire West	Alfred Balfour	Labour
Stockport North	Wg. Cdr. Norman Hulbert	Conservative
Stockport South	Sir Arnold Gridley	Conservative
Stockton-on-Tees	George Chetwynd	Labour
Stoke-on-Trent Central	Dr Barnett Stross	Labour
Stoke-on-Trent North	Albert Davies	Labour
Stoke-on-Trent South	Ellis Smith	Labour
Stratford-on-Avon	John Profumo	Conservative
Streatham	Duncan Sandys	Conservative
Stretford	Samuel Storey	Conservative
Stroud and Thornbury	Walter Perkins	Conservative
Sudbury and Woodbridge	John Hare	Conservative
Sunderland North	Fred Willey	Labour
Sunderland South	Richard Ewart	Labour
Surrey East	Charles Doughty	Conservative
Sutton and Cheam	Sydney Marshall	Conservative
Sutton Coldfield	Sir John Mellor	Conservative
Swansea East	David Mort	Labour
Swansea West	Percy Morris	Labour
Swindon	Thomas Reid	Labour
Taunton	Henry Hopkinson	Conservative
Tavistock	Henry Studholme	Conservative
Thirsk and Malton	Robin Turton	Conservative
Thurrock	Hugh Delargy	Labour
Tiverton	Derick Heathcoat-Amory	Conservative
Tonbridge	Gerald Williams	Conservative
Torquay	Charles Williams	Conservative
Torrington	Hon. George Lambert	National Liberal & Conservative
Totnes	Brig. Ralph Rayner	Conservative
Tottenham	Frederick Messer	Co-op & Labour
Truro	Geoffrey Wilson	Conservative
Twickenham	Edward Keeling	Conservative
Tynemouth	Irene Ward	Conservative
Ulster Mid	Michael O'Neill	National Party of Northern Ireland
Uxbridge	Frank Beswick	Co-op & Labour
Vauxhall	George Strauss	Labour
Wakefield	Arthur Greenwood	Labour
Wallasey	Ernest Marples	Conservative
Wallsend	John McKay	Labour
Walsall	William Wells	Labour
Walthamstow East	Harry Wallace	Labour
Walthamstow West	Clement Attlee	Labour
Wandsworth Central	Richard Adams	Labour
Warwick and Leamington	Anthony Eden	Conservative
Warrington	Hyacinth Morgan	Labour
Watford	John Freeman	Labour
Wednesbury	Stanley Evans	Labour
Wellingborough	George Lindgren	Labour
Wells	Lynch Maydon	Conservative
Wembley North	Eric Bullus	Conservative
Wembley South	Ronald Russell	Conservative
West Bromwich	John Dugdale	Labour
Westbury	Robert Grimston	Conservative
Western Isles	Malcolm Macmillan	Labour
West Ham North	Arthur Lewis	Labour
West Ham South	Elwyn Jones	Labour
Westhoughton	Tom Price	Labour
West Lothian	John Taylor	Labour
Westmorland	William Fletcher-Vane	Conservative
Weston-super-Mare	Ian Orr-Ewing	Conservative
Whitehaven	Frank Anderson	Labour
Widnes	James MacColl	Labour
Wigan	Ronald Williams	Labour
Willesden East	Maurice Orbach	Labour
Willesden West	Samuel Viant	Labour
Wimbledon	Cyril Black	Conservative
Winchester	Peter Smithers	Conservative
Windsor	Charles Mott-Radclyffe	Conservative
Wirral	Selwyn Lloyd	Conservative
Woking	Harold Watkinson	Conservative
Wokingham	Peter Remnant	Conservative
Wolverhampton North-East	John Baird	Labour
Wolverhampton South-West	Enoch Powell	Conservative
Woodford	Winston Churchill	Conservative
Wood Green	William Irving	Co-op & Labour
Woolwich East	Christopher Mayhew	Labour
Woolwich West	William Steward	Conservative
Worcester	Hon. George Ward	Conservative
Worcestershire South	Rupert de la Bere	Conservative
Workington	Fred Peart	Labour
Worthing	Brig. Otho Prior-Palmer	Conservative
The Wrekin	Ivor Owen Thomas	Labour
Wrexham	Robert Richards	Labour
Wycombe	William Astor	Conservative
Yarmouth	Anthony Fell	Conservative
Yeovil	John Peyton	Conservative
York	Harry Hylton-Foster	Conservative
