constituency	name	party
Crewe and Nantwich	Gwyneth Dunwoody	Labour
Crosby	Malcolm Thornton	Conservative
Croydon, Central	John Moore	Conservative
Croydon, North East	Bernard Weatherill	Conservative
Croydon, North West	Humfrey Malins	Conservative
Croydon, South	Sir William Clark	Conservative
Cumbernauld and Kilsyth	Norman Hogg	Labour
Cunninghame, North	Brian Wilson	Labour
Cunninghame, South	David Lambie	Labour
Cynon Valley	Ann Clwyd	Labour
Dagenham	Bryan Gould	Labour
Darlington	Michael Fallon	Conservative
Dartford	Bob Dunn	Conservative
Daventry	Tim Boswell	Conservative
Davyhulme	Winston Churchill	Conservative
Delyn	Keith Raffan	Conservative
Denton and Reddish	Andrew Bennett	Labour
Derby, North	Gregory Knight	Conservative
Derby, South	Margaret Beckett	Labour
Derbyshire, North East	Harry Barnes	Labour
Derbyshire, South	Edwina Currie	Conservative
Derbyshire, West	Patrick McLoughlin	Conservative
Devizes	Hon. Charles Morrison	Conservative
Devon, North	Tony Speller	Conservative
Devon, West and Torridge	Emma Nicholson	Conservative
Dewsbury	Ann Taylor	Labour
Doncaster, Central	Harold Walker	Labour
Doncaster, North	Michael Welsh	Labour
Don Valley	Martin Redmond	Labour
Dorset, North	Nicholas Baker	Conservative
Dorset, South	Ian Bruce	Conservative
Dorset, West	Jim Spicer	Conservative
Dover	David Shaw	Conservative
Down, North	James Kilfedder	Ulster Popular Unionist
Down, South	Eddie McGrady	Social Democratic and Labour
Dudley, East	John Gilbert	Labour
Dudley, West	John Blackburn	Conservative
Dulwich	Gerald Bowden	Conservative
Dumbarton	John McFall	Labour Co-operative
Dumfries	Sir Hector Monro	Conservative
Dundee, East	John McAllion	Labour
Dundee, West	Ernie Ross	Labour
Dunfermline, East	Gordon Brown	Labour
Dunfermline, West	Richard Douglas	Labour Co-operative
Durham, City of	Dr. Gerry Steinberg	Labour
Durham, North	Giles Radice	Labour
Durham, North West	Hilary Armstrong	Labour
Ealing, Acton	Sir George Young, 6th Baronet	Conservative
Ealing, North	Harry Greenway	Conservative
Ealing, Southall	Syd Bidwell	Labour
Easington	John Cummings	Labour
Eastbourne	Ian Gow	Conservative
East Kilbride	Adam Ingram	Labour
Eastleigh	Sir David Price	Conservative
East Lindsey	Sir Peter Tapsell	Conservative
East Lothian	John Home Robertson	Labour
Eastwood	Allan Stewart	Conservative
Eccles	Joan Lestor	Labour
Eddisbury	Alastair Goodlad	Conservative
Edinburgh Central	Alistair Darling	Labour
Edinburgh East	Gavin Strang	Labour
Edinburgh Leith	Ronald Brown	Labour
Edinburgh Pentlands	Malcolm Rifkind	Conservative
Edinburgh South	Nigel Griffiths	Labour
Edinburgh West	The Lord James Douglas-Hamilton	Conservative
Edmonton	Ian Twinn	Conservative
Ellesmere Port and Neston	Mike Woodcock	Conservative
Elmet	Spencer Batiste	Conservative
Eltham	Peter Bottomley	Conservative
Enfield, North	Tim Eggar	Conservative
Enfield, Southgate	Michael Portillo	Conservative
Epping Forest	Sir John Biggs-Davison	Conservative
Epsom & Ewell	Hon. Archie Hamilton	Conservative
Erewash	Peter Rost	Conservative
Erith and Crayford	David Evennett	Conservative
Esher	Ian Taylor	Conservative
Exeter	John Hannam	Conservative
Falkirk, East	Harry Ewing	Labour
Falkirk, West	Dennis Canavan	Labour
Falmouth and Camborne	David Mudd	Conservative
Fareham	Peter Lloyd	Conservative
Faversham	Roger Moate	Conservative
Feltham and Heston	Patrick Ground	Conservative
Fermanagh & South Tyrone	Kenneth Maginnis	Official Unionist
Fife, Central	Henry McLeish	Labour
Fife, North East	Menzies Campbell	Liberal
Finchley	Margaret Thatcher	Conservative
Folkestone and Hythe	Michael Howard	Conservative
Foyle	John Hume	Social Democratic and Labour
Fulham	Matthew Carrington	Conservative
Fylde	Michael Jack	Conservative
Gainsborough and Horncastle	Edward Leigh	Conservative
Galloway and Upper Nithsdale	Ian Lang	Conservative
Gateshead, East	Joyce Quin	Labour
Gedling	Andrew Mitchell	Conservative
Gillingham	James Couchman	Conservative
Glanford and Scunthorpe	Elliot Morley	Labour
Glasgow, Cathcart	John Maxton	Labour
Glasgow, Central	Bob McTaggart	Labour
Glasgow, Garscadden	Donald Dewar	Labour
Glasgow, Govan	Bruce Millan	Labour
Glasgow, Hillhead	George Galloway	Labour
Glasgow, Maryhill	Maria Fyfe	Labour
Glasgow, Pollok	Jimmy Dunnachie	Labour
Glasgow, Provan	James Wray	Labour
Glasgow, Rutherglen	Thomas McAvoy	Labour Co-operative
Glasgow, Shettleston	David Marshall	Labour
Glasgow, Springburn	Michael Martin	Labour
Gloucester	Douglas French	Conservative
Gloucestershire, West	Paul Marland	Conservative
Gordon	Malcolm Bruce	Liberal
Gosport	Peter Viggers	Conservative
Gower	Gareth Wardell	Labour
Grantham	Hon. Douglas Hogg	Conservative
Gravesham	Jacques Arnold	Conservative
Great Grimsby	Austin Mitchell	Labour
Great Yarmouth	Michael Carttiss	Conservative
Greenock and Port Glasgow	Norman Godman	Labour
Greenwich	Rosie Barnes	Social Democrat
Guildford	David Howell	Conservative
Hackney, North and Stoke Newington	Diane Abbott	Labour
Hackney, South and Shoreditch	Brian Sedgemore	Labour
Halesowen and Stourbridge	John Stokes	Conservative
Halifax	Alice Mahon	Labour
Halton	Gordon Oakes	Labour
Hamilton	George Robertson	Labour
Hammersmith	Clive Soley	Labour
Hampshire, East	Michael Mates	Conservative
Hampshire, North West	David Mitchell	Conservative
Hampstead and Highgate	Sir Geoffrey Finsberg	Conservative
Harborough	Sir John Farr	Conservative
Harlow	Jeremy Hayes	Conservative
Harrogate	Robert Banks	Conservative
Harrow, East	Hugh Dykes	Conservative
Harrow, West	Robert Hughes	Conservative
Hartlepool	Ted Leadbitter	Labour
Harwich	Sir Julian Ridsdale	Conservative
Hastings and Rye	Kenneth Warren	Conservative
Havant	Sir Ian Lloyd	Conservative
Hayes and Harlington	Terry Dicks	Conservative
Hazel Grove	Tom Arnold	Conservative
Hemsworth	George Buckley	Labour
Hendon, North	John Gorst	Conservative
Hendon, South	John Marshall	Conservative
Henley	Michael Heseltine	Conservative
Hereford	Colin Shepherd	Conservative
Hertford and Stortford	Bowen Wells	Conservative
Hertfordshire, North	Ian Stewart	Conservative
Hertfordshire, South West	Richard Page	Conservative
Hertfordshire, West	Robert Jones	Conservative
Hertsmere	Cecil Parkinson	Conservative
Hexham	Alan Amos	Conservative
Heywood and Middleton	James Callaghan	Labour
High Peak	Christopher Hawkins	Conservative
Holborn and St Pancras	Frank Dobson	Labour
Holland with Boston	Sir Richard Body	Conservative
Honiton	Sir Peter Emery	Conservative
Hornchurch	Robin Squire	Conservative
Hornsey and Wood Green	Sir Hugh Rossi	Conservative
Horsham	Sir Peter Hordern	Conservative
Houghton and Washington	Roland Boyes	Labour
Hove	Hon. Tim Sainsbury	Conservative
Huddersfield	Barry Sheerman	Labour Co-operative
Huntingdon	John Major	Conservative
Hyndburn	Ken Hargreaves	Conservative
Ilford, North	Vivian Bendall	Conservative
Ilford, South	Neil Thorne	Conservative
Inverness, Nairn and Lochaber	Sir Russell Johnston	Liberal
Ipswich	Michael Irvine	Conservative
Isle of Wight	Barry Field	Conservative
Islington, North	Jeremy Corbyn	Labour
Islington, South and Finsbury	Chris Smith	Labour
Islwyn	Neil Kinnock	Labour
Jarrow	Donald Dixon	Labour
Keighley	Gary Waller	Conservative
Kensington	Sir Brandon Rhys-Williams	Conservative
Kent, Mid	Andrew Rowe	Conservative
Kettering	Roger Freeman	Conservative
Kilmarnock and Loudoun	William McKelvey	Labour
Kincardine and Deeside	Alick Buchanan-Smith	Conservative
Kingston upon Hull East	John Prescott	Labour
Kingston upon Hull North	Kevin McNamara	Labour
Kingston upon Hull West	Stuart Randall	Labour
Kingston upon Thames	Norman Lamont	Conservative
Kingswood	Robert Hayward	Conservative
Kirkcaldy	Dr. Lewis Moonie	Labour Co-operative
Knowsley, North	George Howarth	Labour
Knowsley, South	Sean Hughes	Labour
Lagan Valley	James Molyneaux	Official Unionist
Lancashire, West	Kenneth Hind	Conservative
Lancaster	Elaine Kellett-Bowman	Conservative
Langbaurgh	Richard Holt	Conservative
Leeds, Central	Derek Fatchett	Labour
Leeds, East	Denis Healey	Labour
Leeds, North East	Timothy Kirkhope	Conservative
Leeds, North West	Keith Hampson	Conservative
Leeds South and Morley	Merlyn Rees	Labour
Leeds, West	John Battle	Labour
Leicester, East	Keith Vaz	Labour
Leicester South	Jim Marshall	Labour
Leicester, West	Greville Janner	Labour
Leicestershire, North West	David Ashby	Conservative
Leigh	Lawrence Cunliffe	Labour
Leominster	Peter Temple-Morris	Conservative
Lewes	Tim Rathbone	Conservative
Lewisham Deptford	Joan Ruddock	Labour
Lewisham, East	Hon. Colin Moynihan	Conservative
Lewisham, West	John Maples	Conservative
Leyton	Harry Cohen	Labour
Lincoln	Kenneth Carlisle	Conservative
Linlithgow	Tam Dalyell	Labour
Littleborough and Saddleworth	Geoffrey Dickens	Conservative
Liverpool, Broadgreen	Terence Fields	Labour
Liverpool, Garston	Eddie Loyden	Labour
Liverpool, Mossley Hill	David Alton	Liberal
Liverpool, Riverside	Robert Parry	Labour
Liverpool, Walton	Eric Heffer	Labour
Liverpool, West Derby	Robert Wareing	Labour
Livingston	Robin Cook	Labour
Llanelli	Denzil Davies	Labour
Londonderry, East	William Ross	Official Unionist
Loughborough	Stephen Dorrell	Conservative
Ludlow	Christopher Gill	Conservative
Luton, North	John Carlisle	Conservative
Luton, South	Graham Bright	Conservative
Macclesfield	Nick Winterton	Conservative
Maidstone	Ann Widdecombe	Conservative
Makerfield	Ian McCartney	Labour
Manchester, Blackley	Kenneth Eastham	Labour
Manchester, Central	Robert Litherland	Labour
Manchester, Gorton	Gerald Kaufman	Labour
Manchester, Withington	Keith Bradley	Labour
Manchester, Wythenshawe	Alfred Morris	Labour Co-operative
Mansfield	Alan Meale	Labour
Medway	Dame Peggy Fenner	Conservative
Meirionnydd Nant Conwy	Dafydd Elis-Thomas	Plaid Cymru
Meriden	Iain Mills	Conservative
Merthyr Tydfil and Rhymney	Ted Rowlands	Labour
Middlesbrough	Stuart Bell	Labour
Midlothian	Alexander Eadie	Labour
Milton Keynes	William Benyon	Conservative
Mitcham and Morden	Angela Rumbold	Conservative
Mole Valley	Kenneth Baker	Conservative
Monklands, East	John Smith	Labour
Monklands, West	Tom Clarke	Labour
Monmouth	Sir John Stradling Thomas	Conservative
Montgomery	Alex Carlile	Liberal
Moray	Margaret Ewing	Scottish National Party
Morecambe and Lunesdale	Hon. Mark Lennox-Boyd	Conservative
Motherwell, North	John Reid	Labour
Motherwell, South	Jeremy Bray	Labour
Neath	Donald Coleman	Labour
Newark	Richard Alexander	Conservative
Newbury	Michael McNair-Wilson	Conservative
Newcastle-under-Lyme	Llin Golding	Labour
Newcastle upon Tyne, Central	Jim Cousins	Labour
Newcastle upon Tyne, East	Nicholas Brown	Labour
Newcastle upon Tyne, North	Doug Henderson	Labour
New Forest	Patrick McNair-Wilson	Conservative
Newham, North East	Ronald Leighton	Labour
Newham, North West	Tony Banks	Labour
Newham, South	Nigel Spearing	Labour
Newport, East	Roy Hughes	Labour
Newport, West	Paul Flynn	Labour
Newry & Armagh	Seamus Mallon	Social Democratic and Labour
Norfolk, Mid	Richard Ryder	Conservative
Norfolk North	Ralph Howell	Conservative
Norfolk, North West	Henry Bellingham	Conservative
Norfolk, South	John MacGregor	Conservative
Norfolk, South West	Gillian Shephard	Conservative
Normanton	Bill O'Brien	Labour
Northampton, North	Tony Marlow	Conservative
Northampton, South	Michael Morris	Conservative
Northavon	John Cope	Conservative
Norwich, North	Patrick Thompson	Conservative
Norwich, South	John Garrett	Labour
Norwood	John Fraser	Labour
Nottingham, East	Michael Knowles	Conservative
Nottingham, North	Graham Allen	Labour
Nottingham, South	Martin Brandon-Bravo	Conservative
Nuneaton	Lewis Stevens	Conservative
Ogmore	Raymond Powell	Labour
Old Bexley and Sidcup	Sir Edward Heath	Conservative
Oldham, Central and Royton	James Lamond	Labour
Oldham, West	Michael Meacher	Labour
Orkney and Shetland	Jim Wallace	Liberal
Orpington	Ivor Stanbrook	Conservative
Oxford, East	Andrew Smith	Labour
Oxford, West and Abingdon	John Patten	Conservative
Paisley, North	Allen Adams	Labour
Paisley, South	Norman Buchan	Labour
Peckham	Harriet Harman	Labour
Pembrokeshire	Nicholas Bennett	Conservative
Pendle	John Lee	Conservative
Penrith and The Border	David Maclean	Conservative
Perth and Kinross	Nicholas Fairbairn	Conservative
Peterborough	Dr. Brian Mawhinney	Conservative
Plymouth, Devonport	Dr. David Owen	Social Democrat
Plymouth, Drake	Janet Fookes	Conservative
Plymouth, Sutton	Alan Clark	Conservative
Pontefract and Castleford	Geoffrey Lofthouse	Labour
Pontypridd	Brynmor John	Labour
Poole	John Ward	Conservative
Portsmouth, North	Peter Griffiths	Conservative
Portsmouth, South	David Martin	Conservative
Preston	Audrey Wise	Labour
Pudsey	Giles Shaw	Conservative
Putney	David Mellor	Conservative
Ravensbourne	John Hunt	Conservative
Reading, East	Sir Gerard Vaughan	Conservative
Reading, West	Anthony Durant	Conservative
Redcar	Marjorie Mowlam	Labour
Reigate	George Gardiner	Conservative
Renfrew, West and Inverclyde	Thomas Graham	Labour
Rhondda	Allan Rogers	Labour
Ribble Valley	David Waddington	Conservative
Richmond and Barnes	Jeremy Hanley	Conservative
Richmond 	Leon Brittan	Conservative
Rochdale	Cyril Smith	Liberal
Rochford	Dr. Michael Clark	Conservative
Romford	Michael Neubert	Conservative
Romsey and Waterside	Michael Colvin	Conservative
Ross, Cromarty and Skye	Charles Kennedy	Social Democrat
Rossendale and Darwen	David Trippier	Conservative
Rotherham	Stanley Crowther	Labour
Rother Valley	Kevin Barron	Labour
Roxburgh and Berwickshire	Archy Kirkwood	Liberal
Rugby and Kenilworth	Jim Pawsey	Conservative
Ruislip-Northwood	John Wilkinson	Conservative
Rushcliffe	Kenneth Clarke	Conservative
Rutland and Melton	Michael Latham	Conservative
Ryedale	John Greenway	Conservative
Saffron Walden	Alan Haselhurst	Conservative
St Albans	Peter Lilley	Conservative
St Helens, North	John Evans	Labour
St Helens, South	Gerald Bermingham	Labour
St Ives	David Harris	Conservative
Salford East	Stanley Orme	Labour
Salisbury	Robert Key	Conservative
Scarborough	Sir Michael Shaw	Conservative
Sedgefield	Tony Blair	Labour
Selby	Michael Alison	Conservative
Sevenoaks	Mark Wolfson	Conservative
Sheffield Attercliffe	Patrick Duffy	Labour
Sheffield Brightside	David Blunkett	Labour
Sheffield Central	Richard Caborn	Labour
Sheffield Hallam	Irvine Patnick	Conservative
Sheffield Heeley	Bill Michie	Labour
Sheffield Hillsborough	Martin Flannery	Labour
Sherwood	Andrew Stewart	Conservative
Shipley	Sir Marcus Fox	Conservative
Shoreham	Richard Luce	Conservative
Shrewsbury and Atcham	Derek Conway	Conservative
Shropshire, North	John Biffen	Conservative
Skipton and Ripon	David Curry	Conservative
Slough	John Watts	Conservative
Solihull	John Taylor	Conservative
Somerton and Frome	Hon. Robert Boscawen	Conservative
Southampton, Itchen	Christopher Chope	Conservative
Southampton, Test	James Hill	Conservative
Southend, East	Teddy Taylor	Conservative
Southend, West	Paul Channon	Conservative
South Hams	Anthony Steen	Conservative
Southport	Ronald Fearn	Liberal
South Ribble	Robert Atkins	Conservative
South Shields	David G. Clark	Labour
Southwark and Bermondsey	Simon Hughes	Liberal
Spelthorne	David Wilshire	Conservative
Stafford	William Cash	Conservative
Staffordshire, Mid	John Heddle	Conservative
Staffordshire, Moorlands	David Knox	Conservative
Staffordshire, South	Patrick Cormack	Conservative
Staffordshire, South East	David Lightbown	Conservative
Stalybridge and Hyde	Tom Pendry	Labour
Stamford and Spalding	Quentin Davies	Conservative
Stevenage	Timothy Wood	Conservative
Stirling	Michael Forsyth	Conservative
Stockport	Anthony Favell	Conservative
Stockton, North	Frank Cook	Labour
Stockton, South	Tim Devlin	Conservative
Stoke-on-Trent, Central	Mark Fisher	Labour
Stoke-on-Trent, North	Joan Walley	Labour
Stoke-on-Trent, South	Jack Ashley	Labour
Strangford	John Taylor	Official Unionist
Stratford-on-Avon	Alan Howarth	Conservative
Strathkelvin and Bearsden	Sam Galbraith	Labour
Streatham	William Shelton	Conservative
Stretford	Tony Lloyd	Labour
Stroud	Roger Knapman	Conservative
Suffolk, Central	Michael Lord	Conservative
Suffolk, Coastal	John Gummer	Conservative
Suffolk, South	Tim Yeo	Conservative
Sunderland, North	Bob Clay	Labour
Sunderland, South	Chris Mullin	Labour
Surbiton	Richard Tracey	Conservative
Surrey, East	Sir Geoffrey Howe	Conservative
Surrey, North West	Michael Grylls	Conservative
Surrey, South West	Virginia Bottomley	Conservative
Sussex, Mid	Tim Renton	Conservative
Sutton and Cheam	Neil Macfarlane	Conservative
Sutton Coldfield	Norman Fowler	Conservative
Swansea, East	Donald Anderson	Labour
Swansea, West	Alan J. Williams	Labour
Swindon	Simon Coombs	Conservative
Tatton	Neil Hamilton	Conservative
Taunton	David Nicholson	Conservative
Tayside, North	Bill Walker	Conservative
Teignbridge	Patrick Nicholls	Conservative
Thanet, North	Roger Gale	Conservative
Thanet, South	Jonathan Aitken	Conservative
Thurrock	Tim Janman	Conservative
Tiverton	Robin Maxwell-Hyslop	Conservative
Tonbridge and Malling	John Stanley	Conservative
Tooting	Tom Cox	Labour
Torbay	Rupert Allason	Conservative
Torfaen	Paul Murphy	Labour
Tottenham	Bernie Grant	Labour
Truro	Matthew Taylor	Liberal
Tunbridge Wells	Sir Patrick Mayhew	Conservative
Tweeddale, Ettrick and Lauderdale	David Steel	Liberal
Twickenham	Toby Jessel	Conservative
Tyne Bridge	David Clelland	Labour
Tynemouth	Neville Trotter	Conservative
Mid Ulster	Rev. William McCrea	Democratic Unionist
Upminster	Sir Nicholas Bonsor	Conservative
Upper Bann	Harold McCusker	Official Unionist
Uxbridge	Michael Shersby	Conservative
Vale of Glamorgan	Sir Raymond Gower	Conservative
Vauxhall	Stuart Holland	Labour
Wakefield	David Hinchliffe	Labour
Wallasey	Lynda Chalker	Conservative
Wallsend	Ted Garrett	Labour
Walsall, North	David Winnick	Labour
Walsall, South	Bruce George	Labour
Walthamstow	Hugo Summerson	Conservative
Wansbeck	John Thompson	Labour
Wansdyke	Jack Aspinwall	Conservative
Wanstead and Woodford	James Arbuthnot	Conservative
Wantage	Robert V. Jackson	Conservative
Warley, East	Andrew Faulds	Labour
Warley, West	Peter Archer	Labour
Warrington, North	Doug Hoyle	Labour
Warrington, South	Chris Butler	Conservative
Warwick and Leamington	Sir Dudley Smith	Conservative
Warwickshire, North	Hon. Francis Maude	Conservative
Watford	Tristan Garel-Jones	Conservative
Waveney	David Porter	Conservative
Wealden	Sir Geoffrey Johnson Smith	Conservative
Wellingborough	Peter Fry	Conservative
Wells	David Heathcoat-Amory	Conservative
Welwyn Hatfield	David Evans	Conservative
Wentworth	Peter Hardy	Labour
West Bromwich, East	Peter Snape	Labour
West Bromwich, West	Betty Boothroyd	Labour
Westbury	Dennis Walters	Conservative
Western Isles	Calum MacDonald	Labour
Westminster, North	John Wheeler	Conservative
Westmorland and Lonsdale	Michael Jopling	Conservative
Weston-super-Mare	Jerry Wiggin	Conservative
Wigan	Roger Stott	Labour
Wiltshire, North	Richard Needham	Conservative
Wimbledon	Dr. Charles Goodson-Wickes	Conservative
Winchester	John Browne	Conservative
Windsor and Maidenhead	Dr. Alan Glyn	Conservative
Wirral, South	Barry Porter	Conservative
Wirral, West	David Hunt	Conservative
Witney	Hon. Douglas Hurd	Conservative
Woking	Cranley Onslow	Conservative
Wokingham	John Redwood	Conservative
Wolverhampton, North East	Maureen Hicks	Conservative
Wolverhampton, South East	Dennis Turner	Labour Co-operative
Wolverhampton, South West	Nick Budgen	Conservative
Woodspring	Sir Paul Dean	Conservative
Woolwich	John Cartwright	Social Democrat
Worcester	Peter Walker	Conservative
Worcestershire, Mid	Eric Forth	Conservative
Worcestershire, South	Michael Spicer	Conservative
Workington	Dale Campbell-Savours	Labour
Worsley	Terry Lewis	Labour
Worthing	Terence Higgins	Conservative
Wrekin, The	Bruce Grocott	Labour
Wrexham	John Marek	Labour
Wycombe	Ray Whitney	Conservative
Wyre	Keith Mans	Conservative
Wyre Forest	Anthony Coombs	Conservative
Yeovil	Paddy Ashdown	Liberal
Ynys Môn	Ieuan Wyn Jones	Plaid Cymru
York	Conal Gregory	Conservative
