constituency	name	party
Dublin St Patrick's	Constance Markievicz	Sinn Féin
Dublin St Stephen's Green	Thomas Kelly	Sinn Féin
Dublin University	Arthur Samuels	Irish Unionist
Dublin University	Sir Robert Woods	Ind. Unionist
Dudley	Sir Arthur Griffith-Boscawen	Coalition Conservative
Dulwich	Sir Frederick Hall	Coalition Conservative
Dumbarton Burghs	John Taylor	Coalition Liberal
Dumfriesshire	William Murray	Coalition Conservative
Dunbartonshire	William Raeburn	Coalition Conservative
Dundee 	Winston Churchill	Coalition Liberal
Dundee 	Alexander Wilkie	Labour
Dunfermline Burghs	John Wallace	Coalition Liberal
Durham	John Hills	Coalition Conservative
Ealing	Sir Herbert Nield	Coalition Conservative
Eastbourne	Rupert Gwynne	Coalition Conservative
East Grinstead	Henry Cautley	Coalition Conservative
East Ham North	Sir John Bethell, Bt	Coalition Liberal
East Ham South	Clement Edwards	Coalition NDP
Ebbw Vale	Thomas Richards	Labour
Eccles	Marshall Stevens	Coalition Conservative
Eddisbury	Harry Barnston	Coalition Conservative
Edinburgh Central	William Graham	Labour
Edinburgh East	James Hogge	Liberal
Edinburgh North	James Avon Clyde	Coalition Conservative
Edinburgh South	Charles Murray	Coalition Conservative
Edinburgh West	John Gordon Jameson	Coalition Conservative
Edmonton	Sir Alfred Warren	Coalition Conservative
Elland	George Taylor Ramsden	Coalition Conservative
Enfield	Henry Bowles	Coalition Conservative
Epping	Richard Colvin	Coalition Conservative
Epsom	George Blades	Coalition Conservative
Essex South East	Frank Hilder	Coalition Conservative
Evesham	Bolton Eyres-Monsell	Coalition Conservative
Exeter	Sir Robert Newman, Bt	Coalition Conservative
Eye	Alexander Lyle-Samuel	Coalition Liberal
Fareham	John Davidson	Coalition Conservative
Farnham	Arthur Samuel	Coalition Conservative
Farnworth	Edward Bagley	Conservative
Faversham	Granville Wheler	Coalition Conservative
Fermanagh North	Edward Archdale	Irish Unionist
Fermanagh South	Seán O'Mahony	Sinn Féin
Fife East	Sir Alexander Sprot, Bt	Conservative
Fife West	William Adamson	Labour
Finchley	John Pretyman Newman	Coalition Conservative
Finsbury	Martin Archer-Shee	Coalition Conservative
Flintshire	Tom Parry	Coalition Liberal
Forest of Dean	James Wignall	Labour
Forfarshire	William T. Shaw	Conservative
Frome	Percy Hurd	Coalition Conservative
Fulham East	Sir Henry Norris	Coalition Conservative
Fulham West	Sir Cyril Cobb	Coalition Conservative
Fylde	Wilfrid Ashley	Coalition Conservative
Gainsborough	John Molson	Coalition Conservative
Galloway	Gilbert McMicking	Coalition Liberal
Galway Connemara	Pádraic Ó Máille	Sinn Féin
Galway East	Liam Mellows	Sinn Féin
Galway North	Bryan Cusack	Sinn Féin
Galway South	Frank Fahy	Sinn Féin
Gateshead	Herbert Surtees	Coalition Conservative
Gillingham	Gerald Hohler	Coalition Conservative
Glasgow Bridgeton	MacCallum Scott	Coalition Liberal
Glasgow Camlachie	Halford Mackinder	Coalition Conservative
Glasgow Cathcart	John Pratt	Coalition Liberal
Glasgow Central	Bonar Law	Coalition Conservative
Glasgow Gorbals	George Barnes	Coalition Labour
Glasgow Govan	Neil Maclean	Labour
Glasgow Hillhead	Sir Robert Horne	Coalition Conservative
Glasgow Kelvingrove	John MacLeod	Coalition Conservative
Glasgow Maryhill	Sir William Mitchell-Thomson, Bt	Coalition Conservative
Glasgow Partick	Sir Robert Balfour, Bt	Coalition Liberal
Glasgow Pollok	John Gilmour	Coalition Conservative
Glasgow St. Rollox	Hon. Gideon Oliphant-Murray	Coalition Conservative
Glasgow Shettleston	T. B. S. Adair	Coalition Conservative
Glasgow Springburn	F. A. Macquisten	Coalition Conservative
Glasgow Tradeston	Vivian Henderson	Coalition Conservative
Gloucester	Sir James Bruton	Coalition Conservative
Gower	John Williams	Labour
Grantham	Edmund Royds	Coalition Conservative
Gravesend	Alexander Richardson	Coalition Conservative
Great Yarmouth	Sir Arthur Fell	Coalition Conservative
Greenock	Godfrey Collins	Liberal
Greenwich	Ion Hamilton Benn	Coalition Conservative
Grimsby	Thomas Tickler	Coalition Conservative
Guildford	Edgar Horne	Coalition Conservative
Hackney Central	William Woolcock	Coalition Liberal
Hackney North	Raymond Greene	Coalition Conservative
Hackney South	Horatio Bottomley	Independent
Halifax	John Henry Whitley	Coalition Liberal
Hamilton	Duncan Graham	Labour
Hammersmith North	Henry Foreman	Coalition Conservative
Hammersmith South	William Bull	Coalition Conservative
Hampstead	George Balfour	Coalition Conservative
Hanley	James Seddon	Coalition NDP
Harborough	Sir Keith Fraser, Bt	Coalition Conservative
Harrow	Oswald Mosley	Coalition Conservative
The Hartlepools	W. G. Howard Gritten	Conservative
Harwich	Harry Newton	Coalition Conservative
Hastings	Laurance Lyon	Coalition Conservative
Hemel Hempstead	Gustavus Talbot	Coalition Conservative
Hemsworth	John Guest	Labour
Hendon	Philip Lloyd-Greame	Coalition Conservative
Henley	Reginald Terrell	Coalition Conservative
Hereford	Charles Pulley	Coalition Conservative
Hertford	Noel Pemberton Billing	Silver Badge
Hexham	Clifton Brown	Coalition Conservative
Heywood and Radcliffe	Albert Illingworth	Coalition Liberal
High Peak	Samuel Hill-Wood	Coalition Conservative
Hitchin	Robert Cecil	Coalition Conservative
Holborn	Sir James Remnant, Bt	Coalition Conservative
Holderness	Stanley Wilson	Coalition Conservative
Holland-with-Boston	William Royce	Labour
Honiton	Clive Morrison-Bell	Coalition Conservative
Horncastle	William Weigall	Coalition Conservative
Hornsey	Kennedy Jones	Coalition Conservative
Horsham and Worthing	The Earl Winterton	Coalition Conservative
Houghton-le-Spring	Robert Richardson	Labour
Howdenshire	Stanley Jackson	Coalition Conservative
Huddersfield	Charles Sykes	Coalition Liberal
Huntingdonshire	Oliver Locker-Lampson	Coalition Conservative
Hythe	Sir Philip Sassoon, Bt	Coalition Conservative
Ilford	Sir William Griggs	Coalition Conservative
Ilkeston	J. E. B. Seely	Coalition Liberal
Ince	Stephen Walsh	Labour
Inverness	Thomas Morison	Coalition Liberal
Ipswich	John Ganzoni	Coalition Conservative
Isle of Ely	Colin Coote	Coalition Liberal
Isle of Thanet	Norman Craig	Coalition Conservative
Isle of Wight	Douglas Hall	Coalition Conservative
Islington East	Alfred Raper	Coalition Conservative
Islington North	Sir Newton Moore	Coalition Conservative
Islington South	Sir Charles Higham	Coalition Conservative
Islington West	Sir George Elliott	Coalition Conservative
Jarrow	Godfrey Palmer	Coalition Liberal
Keighley	Robert Clough	Coalition Conservative
Kennington	Henry Purchase	Coalition Liberal
Kensington North	Alan Burgoyne	Coalition Conservative
Kensington South	Sir William Davison	Coalition Conservative
Kerry East	Piaras Béaslaí	Sinn Féin
Kerry North	James Crowley	Sinn Féin
Kerry South	Fionán Lynch	Sinn Féin
Kerry West	Austin Stack	Sinn Féin
Kettering	Alfred Waterson	Co-operative -> Labour
Kidderminster	Eric Knight	Coalition Conservative
Kildare North	Domhnall Ua Buachalla	Sinn Féin
Kildare South	Art O'Connor	Sinn Féin
Kilkenny North	W. T. Cosgrave	Sinn Féin
Kilkenny South	James O'Mara	Sinn Féin
Kilmarnock	Hon. Alexander Shaw	Coalition Liberal
King's County	Patrick McCartan	Sinn Féin
King's Lynn	Neville Jodrell	Coalition Conservative
Kingston upon Hull Central	Sir Mark Sykes, Bt	Coalition Conservative
Kingston upon Hull East	Charles Murchison	Coalition Conservative
Kingston upon Hull North West	Lambert Ward	Conservative
Kingston upon Hull South West	Cyril Entwistle	Liberal
Kingston-upon-Thames	John Gordon Drummond Campbell	Coalition Conservative
Kingswinford	Charles Sitch	Labour
Kinross & West Perthshire	James Gardiner	Liberal
Kirkcaldy Burghs	Sir James Dalziel	Coalition Liberal
Knutsford	Sir Alan Sykes, Bt	Coalition Conservative
Lambeth North	Frank Briant	Liberal
Lanark	Walter Elliot	Coalition Conservative
Lanarkshire North	Robert McLaren	Coalition Conservative
Lancaster	Sir Archibald Hunter	Coalition Conservative
Leeds Central	Robert Armitage	Coalition Liberal
Leeds North	Alexander Farquharson	Coalition Liberal
Leeds North East	Sir John Birchall	Coalition Conservative
Leeds South	William Middlebrook	Coalition Liberal
Leeds South East	James O'Grady	Labour
Leeds West	John Murray	Coalition Liberal
Leek	William Bromfield	Labour
Leicester East	Sir Gordon Hewart	Coalition Liberal
Leicester South	Thomas Blane	Coalition Conservative
Leicester West	Joseph Frederick Green	Coalition NDP
Leigh	Peter Raffan	Liberal
Leith	William Wedgwood Benn	Liberal
Leitrim	James Dolan	Sinn Féin
Leominster	Charles Ward-Jackson	Coalition Conservative
Lewes	William Campion	Coalition Conservative
Lewisham East	Sir Assheton Pownall	Coalition Conservative
Lewisham West	Sir Edward Coates	Coalition Conservative
Leyton East	Cecil Malone	Coalition Liberal
Leyton West	Harry Wrightson	Coalition Conservative
Lichfield	Sir Courtenay Warner, Bt	Coalition Liberal
Limerick City	Michael Collivet	Sinn Féin
Limerick East	Richard Hayes	Sinn Féin
Limerick West	Con Collins	Sinn Féin
Lincoln	Alfred Davies	Coalition Conservative
Linlithgow	James Kidd	Coalition Conservative
Liverpool East Toxteth	James Stuart Rankin	Coalition Conservative
Liverpool Edge Hill	William Rutherford	Coalition Conservative
Liverpool Everton	John Harmood-Banner	Coalition Conservative
Liverpool Exchange	Leslie Scott	Coalition Conservative
Liverpool Fairfield	Jack Cohen	Conservative
Liverpool Kirkdale	De Fonblanque Pennefather	Coalition Conservative
Liverpool Scotland	T. P. O'Connor	Irish Nationalist
Liverpool Walton	Harry Chilcott	Coalition Conservative
Liverpool Wavertree	Nathan Raw	Coalition Conservative
Liverpool West Derby	Sir F. E. Smith	Coalition Conservative
Liverpool West Toxteth	Robert Houston	Coalition Conservative
Llandaff and Barry	William Cope	Coalition Conservative
Llanelli	Towyn Jones	Coalition Liberal
London University	Sir Philip Magnus, Bt	Coalition Conservative
Londonderry City	Eoin MacNeill	Sinn Féin
Londonderry North	Hugh Anderson	Irish Unionist
Londonderry South	Denis Henry	Irish Unionist
Longford	Joseph McGuinness	Sinn Féin
Lonsdale	Claude Lowther	Coalition Conservative
Loughborough	Hon. Oscar Guest	Coalition Liberal
Louth	John J. O'Kelly	Sinn Féin
Louth 	Langton Brackenbury	Coalition Conservative
Lowestoft	Sir Edward Beauchamp, Bt	Coalition Liberal
Ludlow	Sir Beville Stanier, Bt	Coalition Conservative
Luton	Cecil Harmsworth	Coalition Liberal
Macclesfield	John Remer	Coalition Conservative
Maidstone	Carlyon Bellairs	Coalition Conservative
Maldon	Sir James Fortescue Flannery, Bt	Coalition Conservative
Manchester Ardwick	Augustine Hailwood	Coalition Conservative
Manchester Blackley	Harold Briggs	Conservative
Manchester Clayton	Edward Hopkinson	Conservative
Manchester Exchange	Sir John Randles	Coalition Conservative
Manchester Gorton	John Hodge	Labour
Manchester Hulme	Joseph Nall	Conservative
Manchester Moss Side	Gerald Hurst	Conservative
Manchester Platting	J. R. Clynes	Labour
Manchester Rusholme	Robert Burdon Stoker	Coalition Conservative
Manchester Withington	Alfred Deakin Carter	Conservative
Mansfield	William Carter	Labour
Mayo East	Éamon de Valera	Sinn Féin
Mayo North	John Crowley	Sinn Féin
Mayo South	William Sears	Sinn Féin
Mayo West	Joseph MacBride	Sinn Féin
Meath North	Liam Mellows	Sinn Féin
Meath South	Eamonn Duggan	Sinn Féin
Melton	Charles Yate	Coalition Conservative
Merionethshire	Sir Henry Haydn Jones	Liberal
Merthyr	Sir Edgar Jones	Coalition Liberal
Middlesbrough East	Penry Williams	Liberal
Middlesbrough West	Trevelyan Thomson	Liberal
Middleton and Prestwich	Sir Ryland Adkins	Coalition Liberal
Midlothian North	Sir John Hope, Bt	Coalition Conservative
Midlothian South and Peebles	Sir Donald Maclean	Liberal
Mitcham	Thomas Worsfold	Coalition Conservative
Monaghan North	Ernest Blythe	Sinn Féin
Monaghan South	Seán MacEntee	Sinn Féin
Monmouth	Leolin Forestier-Walker	Conservative
Montgomeryshire	David Davies	Liberal
Montrose Burghs	John Sturrock	Coalition Liberal
Moray & Nairn	Sir Archibald Williamson, Bt	Coalition Liberal
Morpeth	John Cairns	Labour
Mossley	Austin Hopkinson	Coalition Liberal
Motherwell	Robert Nelson	Coalition Conservative
National University of Ireland	Eoin MacNeill	Sinn Féin
Neath	Hugh Edwards	Coalition Liberal
Nelson and Colne	Albert Smith	Labour
Newark	John Starkey	Coalition Conservative
Newbury	William Mount	Coalition Conservative
Newcastle-under-Lyme	Josiah Wedgwood	Independent Liberal -> Labour
Newcastle-upon-Tyne Central	George Renwick	Coalition Conservative
Newcastle-upon-Tyne East	Harry Barnes	Coalition Liberal
Newcastle-upon-Tyne North	Nicholas Grattan-Doyle	Coalition Conservative
Newcastle-upon-Tyne West	Edward Shortt	Coalition Liberal
New Forest and Christchurch	Walter Perkins	Coalition Conservative
Newport	Lewis Haslam	Coalition Liberal
Newton	Robert Young	Labour
Norfolk East	Michael Falcon	Coalition Conservative
Norfolk North	Douglas King	Coalition Independent
Norfolk South	Hon. William Cozens-Hardy	Liberal
Norfolk South West	Sir Richard Winfrey	Coalition Liberal
Normanton	Frederick Hall	Labour
Northampton	Charles McCurdy	Coalition Liberal
Northwich	Harry Dewhurst	Coalition Conservative
Norwich 	Hilton Young	Liberal
Norwich 	George Roberts	Coalition Labour
Norwood	Sir Harry Samuel	Coalition Conservative
Nottingham Central	Albert Atkey	Coalition Conservative
Nottingham East	Sir John Rees	Coalition Conservative
Nottingham South	Lord Henry Cavendish-Bentinck	Coalition Conservative
Nottingham West	Arthur Hayday	Labour
Nuneaton	Henry Maddocks	Coalition Conservative
Ogmore	Vernon Hartshorn	Labour
Oldham 	Sir William Barton	Coalition Liberal
Oldham 	Edmund Denniss	Coalition Conservative
Orkney and Shetland	Cathcart Wason	Coalition Liberal
Ormskirk	James Bell	Labour
Oswestry	William Bridgeman	Coalition Conservative
Oxford	John Marriott	Coalition Conservative
Oxford University	Lord Hugh Cecil	Coalition Conservative
Oxford University	Rowland Prothero	Coalition Conservative
Paddington North	William Perring	Coalition Conservative
Paddington South	Sir Henry Percy Harris	Coalition Conservative
Paisley	Sir John McCallum	Liberal
Peckham	Sir Albion Richardson	Coalition Liberal
Pembrokeshire	Sir Evan Jones, Bt	Coalition Liberal
Penistone	Sydney Arnold	Liberal
Penrith and Cockermouth	James Lowther	Coalition Conservative
Penryn and Falmouth	Sir Edward Nicholl	Coalition Conservative
Perth	William Young	Coalition Liberal
Peterborough	Henry Brassey	Coalition Conservative
Petersfield	William Graham Nicholson	Coalition Conservative
Plymouth Devonport	Clement Kinloch-Cooke	Coalition Conservative
Plymouth Drake	Sir Arthur Benn	Coalition Conservative
Plymouth Sutton	Hon. Waldorf Astor	Coalition Conservative
Pontefract	Sir Joseph Compton-Rickett	Coalition Liberal
Pontypool	Thomas Griffiths	Labour
Pontypridd	Thomas Arthur Lewis	Coalition Liberal
Poplar South	Sir Alfred William Yeo	Coalition Liberal
Portsmouth Central	Sir Thomas Bramsdon	Liberal
Portsmouth North	Sir Bertram Falle, Bt	Coalition Conservative
Portsmouth South	Herbert Cayzer	Coalition Conservative
Preston 	Hon. George Stanley	Coalition Conservative
Preston 	Thomas Shaw	Labour
Pudsey and Otley	Arthur Barrand	Coalition Liberal
Putney	Samuel Samuel	Coalition Conservative
Queen's County	Kevin O'Higgins	Sinn Féin
Queen's University of Belfast	Sir William Whitla	Irish Unionist
Reading	Leslie Wilson	Coalition Conservative
Reigate	George Cockerill	Coalition Conservative
Renfrewshire East	Joseph Johnstone	Coalition Liberal
Renfrewshire West	James Greig	Coalition Liberal
Rhondda East	David Watts-Morgan	Labour
Rhondda West	William Abraham	Labour
Richmond 	Murrough Wilson	Coalition Conservative
Richmond upon Thames	Clifford Edgar	Coalition Conservative
Ripon	Hon. Edward Wood	Coalition Conservative
Rochdale	Alfred Law	Coalition Conservative
Romford	Albert Edward Martin	Coalition Liberal
Roscommon North	George Noble Plunkett	Sinn Féin
Roscommon South	Harry Boland	Sinn Féin
Ross and Cromarty	Ian Macpherson	Coalition Liberal
Rossendale	Robert Waddington	Coalition Conservative
Rotherham	Frederic Kelley	Conservative
Rotherhithe	John Lort-Williams	Coalition Conservative
Rother Valley	Thomas Walter Grundy	Labour
Rothwell	William Lunn	Labour
Roxburgh and Selkirk	Robert Munro	Coalition Liberal
Royton	Wilfrid Sugden	Coalition Conservative
Rugby	John Baird	Coalition Conservative
Rushcliffe	Henry Betterton	Coalition Conservative
Rutland and Stamford	Hon. Claud Heathcote-Drummond-Willoughby	Coalition Conservative
Rutherglen	Adam Keir Rodger	Coalition Liberal
Rye	George Courthope	Coalition Conservative
Saffron Walden	Cecil Beck	Coalition Liberal
St Albans	Sir Hildred Carlile, Bt	Coalition Conservative
St Helens	James Sexton	Labour
St Ives	Sir Clifford Cory, Bt	Coalition Liberal
St Marylebone	Sir Samuel Scott, Bt	Coalition Conservative
St Pancras North	John Lorden	Coalition Conservative
St Pancras South East	John Hopkins	Conservative
