By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Bristol West	2 February 1928	George Gibbs	Conservative	Cyril Culverwell	Conservative	Elevation to the peerage
Faversham	25 January 1928	Granville Wheler	Conservative	Adam Maitland	Conservative	Death
Northampton	9 January 1928	Arthur Holland	Conservative	Cecil L'Estrange Malone	Labour	Death
Canterbury	24 November 1927	Ronald McNeill	Conservative	William Wayland	Conservative	Elevation to the peerage
Southend	19 November 1927	Rupert Guinness	Conservative	Gwendolen Guinness	Conservative	Succession to the peerage
Brixton	27 June 1927	Davison Dalziel	Conservative	Nigel Colman	Conservative	Elevation to the peerage
Westbury	16 June 1927	Walter William Shaw	Conservative	Richard Long	Conservative	Death
Bosworth	31 May 1927	Robert Gee	Conservative	William Edge	Liberal	Resignation
Combined Scottish Universities	26–29 April 1927	Henry Craik	Conservative	John Buchan	Conservative	Death
Southwark North	28 March 1927	Leslie Haden-Guest	Labour	Edward Strauss	Liberal	Sought re-election upon change of party allegiance
Leith	23 March 1927	William Wedgwood Benn	Liberal	Ernest Brown	Liberal	Resignation
Stourbridge	23 February 1927	Douglas Pielou	Conservative	Wilfred Wellock	Labour	Death
Smethwick	21 December 1926	John Davison	Labour	Oswald Mosley	Labour	Resignation
Chelmsford	30 November 1926	Henry Curtis-Bennett	Conservative	Charles Howard-Bury	Conservative	Resignation
Kingston-upon-Hull Central	29 November 1926	Joseph Kenworthy	Liberal	Joseph Kenworthy	Labour	Seeks re-election upon change of party allegiance
Howdenshire	25 November 1926	Stanley Jackson	Conservative	William Carver	Conservative	Resignation
North Cumberland	17 September 1926	Donald Howard	Conservative	Fergus Graham	Conservative	Succession to the peerage
Wallsend	21 July 1926	Patrick Hastings	Labour	Margaret Bondfield	Labour	Resignation
Hammersmith North	20 May 1926	Ellis Ashmead-Bartlett	Conservative	James Patrick Gardner	Labour	Resignation
Buckrose	5 May 1926	Guy Gaunt	Conservative	Albert Braithwaite	Conservative	Resignation
East Ham North	29 April 1926	Charles Williamson Crook	Conservative	Susan Lawrence	Labour	Death
Bothwell	26 March 1926	John Robertson	Labour	Joseph Sullivan	Labour	Death
Combined English Universities	8–12 March 1926	Herbert Albert Laurens Fisher	Liberal	Alfred Hopkinson	Conservative	Resignation
Darlington	17 February 1926	William Edwin Pease	Conservative	Arthur Lewis Shepherd	Labour	Death
Cambridge University	13 February 1926	John Rawlinson	Conservative	John James Withers	Conservative	Death
East Renfrewshire	29 January 1926	Alexander Munro MacRobert	Conservative	Alexander Munro MacRobert	Conservative	Appointed Solicitor General for Scotland
Dunbartonshire	29 January 1926	David Fleming	Conservative	John Thom	Conservative	Appointed to the Court of Session
Ripon	5 December 1925	Edward Wood	Conservative	John Waller Hills	Conservative	Resignation
Bury St Edmunds	1 December 1925	Walter Guinness	Conservative	Walter Guinness	Conservative	Appointed Minister of Agriculture and Fisheries
Galloway	17 November 1925	Arthur Henniker-Hughan	Conservative	Sidney Streatfield	Conservative	Death
Stockport	17 September 1925	William Greenwood	Conservative	Arnold Townend	Labour	Death
Forest of Dean	14 July 1925	James Wignall	Labour	A. A. Purcell	Labour	Death
Oldham	24 June 1925	Edward Grigg	Liberal	William Wiggins	Liberal	Resignation
Eastbourne	17 June 1925	George Lloyd	Conservative	William Reginald Hall	Conservative	Resignation
Ayr Burghs	12 June 1925	John Baird	Conservative	Thomas Moore	Conservative	Appointed Governor-General of Australia
Walsall	27 February 1925	William Preston	Conservative	William Preston	Conservative	Disqualification
Dundee	22 December 1924	E. D. Morel	Labour	Thomas Johnston	Labour	Death
Carmarthen	14 August 1924	Ellis Ellis-Griffith	Liberal	Alfred Mond	Liberal	Resignation
Holland with Boston	31 July 1924	William Royce	Labour	Arthur Dean	Conservative	Death
Lewes	9 July 1924	William Campion	Conservative	Tufton Beamish	Conservative	Appointment as Governor of Western Australia
Oxford	5 June 1924	Frank Gray	Liberal	Robert Bourne	Conservative	Election declared void
Glasgow Kelvingrove	23 May 1924	William Hutchison	Conservative	Walter Elliot	Conservative	Death
Liverpool West Toxteth	22 May 1924	Robert Houston	Conservative	Joseph Gibbins	Labour	Resignation
Westminster Abbey	19 March 1924	John Nicholson	Conservative	Otho Nicholson	Conservative	Death
Dover	12 March 1924	John Astor	Conservative	John Astor	Conservative	Voted before taking the Oath of Allegiance
Burnley	28 February 1924	David Irving	Labour	Arthur Henderson	Labour	Death
City of London	1 February 1924	Frederick Banbury	Conservative	Vansittart Bowater	Conservative	Elevation to the peerage
Yeovil	30 October 1923	Aubrey Herbert	Conservative	George Davies	Conservative	Death
Rutland and Stamford	30 October 1923	Charles Harvey Dixon	Conservative	Neville Smith-Carington	Conservative	Death
Portsmouth South	13 August 1923	Leslie Orme Wilson	Conservative	Herbert Cayzer	Conservative	Resignation
Leeds Central	26 July 1923	Arthur Wellesley Willey	Conservative	Charles Henry Wilson	Conservative	Death
Tiverton	21 June 1923	Herbert Sparkes	Conservative	Francis Dyke Acland	Liberal	Death
Morpeth	21 June 1923	John Cairns	Labour	Robert Smillie	Labour	Death
Berwick-upon-Tweed	31 May 1923	Hilton Philipson	National Liberal	Mabel Philipson	Conservative	Void election (electoral fraud)
Ludlow	19 April 1923	Ivor Windsor-Clive	Conservative	George Windsor-Clive	Conservative	Succession to the peerage
Anglesey	7 April 1923	Owen Thomas	Independent Labour	Robert Thomas	Liberal	Death
Liverpool Edge Hill	6 March 1923	William Rutherford	Conservative	Jack Hayes	Labour	Resignation
Mitcham	3 March 1923	Thomas Worsfold	Conservative	James Chuter Ede	Labour	Resignation
Willesden East	3 March 1923	Harry Mallaby-Deeley	Conservative	Harcourt Johnstone	Liberal	Resignation
Darlington	28 February 1923	Herbert Pease	Conservative	William Edwin Pease	Conservative	Elevation to the peerage
Whitechapel and St George's	8 February 1923	Charles James Mathew	Labour	Harry Gosling	Labour	Death
Newcastle-upon-Tyne East	17 January 1923	Joseph Nicholas Bell	Labour	Arthur Henderson	Labour	Death
Portsmouth South	3 December 1922	Herbert Cayzer	Conservative	Leslie Orme Wilson	Conservative	Resignation
Newport (Monmouthshire)	18 October 1922	Lewis Haslam	Coalition Liberal	Reginald Clarry	Conservative	Death
Hackney South	18 August 1922	Horatio Bottomley	Independent	Clifford Erskine-Bolst	Coalition Conservative	Expelled from the House (convicted of fraud)
Pontypridd	25 July 1922	Thomas Arthur Lewis	Coalition Liberal	Thomas Isaac Mardy Jones	Labour	Appointed as a Junior Lord of the Treasury
North Down	21 July 1922	Henry Wilson	UUP	John Morrow Simms	UUP	Death (assassinated by IRA)
Gower	20 July 1922	John Williams	Labour	David Grenfell	Labour	Death
Nottingham East	29 June 1922	John David Rees	Coalition Conservative	John Houfton	Coalition Conservative	Death
Banbury	22 June 1922	Rhys Rhys-Williams	Coalition Liberal	Rhys Rhys-Williams	Coalition Liberal	Appointed Recorder of Cardiff
Moray and Nairn	21 June 1922	Archibald Williamson	Coalition Liberal	Thomas Maule Guthrie	Coalition Liberal	Elevation to the peerage
Newbury	10 June 1922	William Mount	Coalition Conservative	Howard Clifton Brown	Coalition Conservative	Resignation
North Londonderry	4 June 1922	Hugh T. Barrie	UUP	Malcolm Macnaghten	UUP	Death
City of London	19 May 1922	Arthur Balfour	Coalition Conservative	Edward Grenfell	Coalition Conservative	Elevation to the peerage
Clapham	9 May 1922	Arthur du Cros	Coalition Conservative	John Leigh	Coalition Conservative	Resignation
Leicester East	30 March 1922	Gordon Hewart	Coalition Liberal	George Banton	Labour	Appointment as Lord Chief Justice of England and Wales
Chertsey	24 March 1922	Donald MacMaster	Coalition Conservative	Philip Richardson	Coalition Conservative	Death
Inverness	16 March 1922	Thomas Brash Morison	Coalition Liberal	Murdoch MacDonald	Coalition Liberal	Resignation
Cambridge	16 March 1922	Eric Geddes	Coalition Conservative	George Newton	Coalition Conservative	Resignation
Liverpool Exchange	13 March 1922	Leslie Scott	Coalition Conservative	Leslie Scott	Coalition Conservative	Appointed as Solicitor General
Wolverhampton West	7 March 1922	Alfred Bird	Coalition Conservative	Robert Bird	Coalition Conservative	Death
Bodmin	24 February 1922	Charles Hanson	Coalition Conservative	Isaac Foot	Liberal	Death
North Down	21 February 1922	Thomas Watters Brown	UUP	Henry Wilson	UUP	Appointed to the High Court of Northern Ireland
Camberwell North	20 February 1922	Henry Newton Knights	Coalition Conservative	Charles Ammon	Labour	Resignation(bankruptcy)
Manchester Clayton	18 February 1922	Edward Hopkinson	Coalition Conservative	John Edward Sutton	Labour	Death
West Down	17 February 1922	Thomas Browne Wallace	UUP	Hugh Hayes	UUP	Appointed Chief Clerk to the High Court of Northern Ireland
South Londonderry	18 January 1922	Robert Chichester	UUP	William Hacket Pain	UUP	Death
Tamworth	17 January 1922	Henry Wilson-Fox	Coalition Conservative	Percy Newson	Coalition Conservative	Death
Ludlow	4 January 1922	Beville Stanier	Coalition Conservative	Ivor Windsor-Clive	Coalition Conservative	Death
Southwark South East	14 December 1921	James Arthur Dawes	Coalition Liberal	Thomas Naylor	Labour	Death
Hornsey	10 November 1921	Kennedy Jones	Conservative	William Ward	Conservative	Death
Westhoughton	5 October 1921	William Wilson	Labour	Rhys Davies	Labour	Death
Louth	22 September 1921	Thomas Wintringham	Liberal	Margaret Wintringham	Liberal	Death
Lewisham West	13 September 1921	Edward Coates	Conservative	Philip Dawson	Conservative	Death
South Londonderry	29 August 1921	Denis Henry	UUP	Robert Chichester	UUP	Appointed Lord Chief Justice of Northern Ireland
Westminster Abbey	25 August 1921	William Burdett-Coutts	Conservative	John Sanctuary Nicholson	Conservative	Death
Caerphilly	24 August 1921	Alfred Onions	Labour	Morgan Jones	Labour	Death
Hertford	16 July 1921	Noel Pemberton Billing	Independent	Murray Sueter	Anti-Waste League and Independent	Resignation (ill-health)
Heywood and Radcliffe	8 July 1921	Albert Illingworth	Coalition Liberal	Walter Halls	Labour	Elevation to the peerage
Westminster St George's	7 July 1921	Walter Long	Coalition Conservative	James Malcolm Monteith Erskine	Anti-Waste League	Elevation to the peerage
West Down	5 July 1921	Daniel Martin Wilson	UUP	Thomas Browne Wallace	UUP	Appointed Recorder of Belfast
Mid Down	2 July 1921	James Craig	UUP	Robert Sharman-Crawford	UUP	Elected Prime Minister of Northern Ireland
Mid Armagh	23 June 1921	James Rolston Lonsdale	UUP	Henry Bruce Armstrong	UUP	Death
Belfast Duncairn	23 June 1921	Edward Carson	UUP	Thomas Edward McConnell	UUP	Appointed Lord of Appeal in Ordinary
North Down	23 June 1921	Thomas Watters Brown	UUP	Thomas Watters Brown	UUP	Appointed Solicitor-General for Ireland
Orkney and Shetland	17 May 1921	Cathcart Wason	Coalition Liberal	Malcolm Smith	Coalition Liberal	Death
Abingdon	14 May 1921	John Tyson Wigan	Coalition Conservative	Arthur Loyd	Coalition Conservative	Resignation
Penrith and Cockermouth	13 May 1921	James Lowther	Coalition Conservative	Cecil Lowther	Coalition Conservative	Resignation
Hastings	4 May 1921	Laurance Lyon	Coalition Conservative	Eustace Percy	Coalition Conservative	Resignation
Chichester	23 April 1921	Edmund Talbot	Coalition Conservative	William Bird	Coalition Conservative	Resignation
Bedford	23 April 1921	Frederick Kellaway	Coalition Liberal	Frederick Kellaway	Coalition Liberal	Appointed Postmaster General
Bewdley	19 April 1921	Stanley Baldwin	Coalition Conservative	Stanley Baldwin	Coalition Conservative	Appointed President of the Board of Trade
Eddisbury	19 April 1921	Harry Barnston	Coalition Conservative	Harry Barnston	Coalition Conservative	Appointed Comptroller of the Household
East Dorset	16 April 1921	Frederick Guest	Coalition Liberal	Frederick Guest	Coalition Liberal	Appointed Secretary of State for Air
Glasgow Pollok	14 April 1921	John Gilmour	Coalition Conservative	John Gilmour	Coalition Conservative	Appointed Junior Lord of the Treasury
Bristol West	9 April 1921	George Gibbs	Coalition Conservative	George Gibbs	Coalition Conservative	Appointed Treasurer of the Household
Taunton	8 April 1921	Dennis Boles	Coalition Conservative	Arthur Griffith-Boscawen	Coalition Conservative	Resignation
Birmingham West	31 March 1921	Austen Chamberlain	Coalition Conservative	Austen Chamberlain	Coalition Conservative	Appointed Lord Privy Seal
Penistone	5 March 1921	Sydney Arnold	Liberal	William Gillis	Labour	Resignation
Kirkcaldy Burghs	4 March 1921	Henry Dalziel	Coalition Liberal	Tom Kennedy	Labour	Resignation
Birmingham Moseley	4 March 1921	Hallewell Rogers	Coalition Conservative	Patrick Hannon	Coalition Conservative	Resignation
Dudley	3 March 1921	Arthur Griffith-Boscawen	Coalition Conservative	James Wilson	Labour	Appointment as Minister of Agriculture
Woolwich East	2 March 1921	Will Crooks	Labour	Robert Gee	Coalition Conservative	Death
Cardiganshire	18 February 1921	Matthew Vaughan-Davies	Coalition Liberal	Ernest Evans	Coalition Liberal	Elevated to the peerage
Dover	12 January 1921	Vere Ponsonby	Coalition Conservative	Thomas Andrew Polson	Independent	Succession to the Peerage
Hereford	11 January 1921	Charles Pulley	Coalition Conservative	Samuel Roberts	Coalition Conservative	Resignation
Abertillery	21 December 1920	William Brace	Labour	George Barker	Labour	Resignation
Rhondda West	21 December 1920	William Abraham	Labour	William John	Labour	Resignation
Middleton and Prestwich	22 November 1920	William Adkins	Coalition Liberal	William Adkins	Coalition Liberal	Appointed Recorder of Birmingham
The Wrekin	20 November 1920	Charles Frederick Palmer	Independent	C. V. F. Townshend	Independent	Death
Hemel Hempstead	9 November 1920	Gustavus Talbot	Coalition Conservative	J. C. C. Davidson	Coalition Conservative	Death
Ilford	25 September 1920	William Peter Griggs	Coalition Conservative	Fredric Wise	Coalition Conservative	Death
Woodbridge	28 July 1920	Robert Francis Peel	Coalition Conservative	Arthur Churchman	Coalition Conservative	Resignation
South Norfolk	27 July 1920	William Cozens-Hardy	Coalition Liberal	George Edwards	Labour	Succession to the peerage
Ebbw Vale	26 July 1920	Thomas Richards	Labour	Evan Davies	Labour	Resignation
Nelson and Colne	17 June 1920	Albert Smith	Labour	Robinson Graham	Labour	Resignation
Louth	3 June 1920	Henry Langton Brackenbury	Coalition Conservative	Thomas Wintringham	Liberal	Death
Sunderland	24 April 1920	Hamar Greenwood	Coalition Liberal	Hamar Greenwood	Coalition Liberal	Appointed Chief Secretary for Ireland
Edinburgh North	9 April 1920	James Avon Clyde	Coalition Conservative	Patrick Ford	Coalition Conservative	Resignation
Edinburgh South	9 April 1920	Charles Murray	Coalition Conservative	Charles Murray	Coalition Conservative	Appointed Solicitor General for Scotland
Northampton	1 April 1920	Charles McCurdy	Coalition Liberal	Charles McCurdy	Coalition Liberal	Appointed Minister of Food Control
Basingstoke	31 March 1920	Auckland Geddes	Coalition Conservative	Arthur Holbrook	Coalition Conservative	Resignation
Camberwell North West	31 March 1920	Thomas James McNamara	Coalition Liberal	Thomas James McNamara	Coalition Liberal	Appointed Minister of Labour
Dartford	27 March 1920	James Rowlands	Coalition Liberal	John Edmund Mills	Labour	Death
Stockport	27 March 1920	Spencer Leigh Hughes	Coalition Liberal	Henry Fildes	Coalition Liberal	Death
Stockport	27 March 1920	George Wardle	Coalition Labour	William Greenwood	Coalition Conservative	Resignation
Argyll	10 March 1920	William Sutherland	Coalition Liberal	William Sutherland	Coalition Liberal	Appointed as a Junior Lord of the Treasury
Horncastle	25 February 1920	William Weigall	Coalition Conservative	Stafford Vere Hotchkin	Coalition Conservative	Appointed Governor of South Australia
Paisley	12 February 1920	John Mills McCallum	Liberal	H. H. Asquith	Liberal	Death
The Wrekin	7 February 1920	Charles Solomon Henry	Coalition Liberal	Charles Frederick Palmer	Independent	Death
Ashton-under-Lyne	31 January 1920	Albert Stanley	Coalition Conservative	Walter de Frece	Coalition Conservative	Elevation to the peerage
Spen Valley	20 December 1919	Thomas Whittaker	Coalition Liberal	Tom Myers	Labour	Death
Bromley	17 December 1919	Henry Forster	Coalition Conservative	Cuthbert James	Coalition Conservative	Elevation to the peerage
St Albans	10 December 1919	Hildred Carlile	Coalition Conservative	Francis Fremantle	Coalition Conservative	Resignation
Plymouth Sutton	28 November 1919	Waldorf Astor	Coalition Conservative	Nancy Astor	Coalition Conservative	Succession to the peerage
Isle of Thanet	15 November 1919	Norman Carlyle Craig	Conservative	Esmond Harmsworth	Conservative	Death
Croydon South	14 November 1919	Ian Malcolm	Coalition Conservative	Allan Smith	Coalition Conservative	Resignation
Chester-le-Street	13 November 1919	John Wilkinson Taylor	Labour	Jack Lawson	Labour	Resignation
Manchester Rusholme	7 October 1919	Robert Burdon Stoker	Coalition Conservative	John Henry Thorpe	Coalition Conservative	Death
Pontefract	6 September 1919	Joseph Compton-Rickett	Coalition Liberal	Walter Forrest	Coalition Liberal	Death
Widnes	30 August 1919	William Walker	Coalition Conservative	Arthur Henderson	Labour	Elevation to the peerage
Dublin University	28 July 1919	Arthur Warren Samuels	Irish Unionist	William Morgan Jellett	Irish Unionist	Appointed to the Irish High Court
Bothwell	16 July 1919	David Macdonald	Coalition Conservative	John Robertson	Labour	Death
Swansea East	10 July 1919	Thomas Jeremiah Williams	Coalition Liberal	David Matthews	Coalition Liberal	Death
East Antrim	27 May 1919	Robert McCalmont	Irish Unionist	George Boyle Hanna	Independent Unionist	Appointed Commander of the Irish Guards
Aberdeenshire and Kincardineshire Central	16 April 1919	Alexander Theodore Gordon	Coalition Conservative	Murdoch McKenzie Wood	Liberal	Death
Kingston upon Hull Central	29 March 1919	Mark Sykes	Coalition Conservative	Joseph Kenworthy	Liberal	Death
Oxford University	19–24 March 1919	Rowland Prothero	Coalition Conservative	Charles Oman	Coalition Conservative	Elevation to the peerage
North Londonderry	4 March 1919	Hugh Anderson	Irish Unionist	Hugh T. Barrie	Irish Unionist	Resignation
Leyton West	1 March 1919	Harry Wrightson	Coalition Conservative	Alfred Newbould	Liberal	Death
Liverpool West Derby	26 February 1919	Sir F. E. Smith	Coalition Conservative	William Reginald Hall	Coalition Conservative	Hereditary Peerage on appointment as Lord High Chancellor of Great Britain
