constituency	name	party
Sheffield Hallam	Sir John Osborn	Conservative
Sheffield Heeley	Peter Roberts	Conservative
Sheffield Hillsborough	George Darling	Labour
Sheffield Park	Fred Mulley	Labour
Shipley	Geoffrey Hirst	Conservative
Shoreditch and Finsbury	Ronald Brown	Labour
Shrewsbury	John Langford-Holt	Conservative
Skipton	Burnaby Drayson	Conservative
Smethwick	Peter Griffiths	Conservative
Solihull	Percy Grieve	Conservative
Somerset North	Paul Dean	Conservative
South Shields	Arthur Blenkinsop	Labour
Southall	George Pargiter	Labour
Southampton Itchen	Horace King	Labour
Southampton Test	John Fletcher-Cooke	Conservative
Southend East	Stephen McAdden	Conservative
Southend West	Paul Channon	Conservative
Southgate	Hon. Anthony Berry	Conservative
Southport	Ian Percival	Conservative
Southwark	Ray Gunter	Labour
Sowerby	Douglas Houghton	Labour
Spelthorne	Sir Beresford Craddock	Conservative
Stafford and Stone	Hon. Hugh Fraser	Conservative
Stalybridge and Hyde	Fred Blackburn	Labour
Stepney	Peter Shore	Labour
Stirling and Falkirk	Malcolm MacPherson	Labour
Stirlingshire East and Clackmannan	Arthur Woodburn	Labour
Stirlingshire West	William Baxter	Labour
Stockport North	Arnold Gregory	Labour
Stockport South	Maurice Orbach	Labour
Stockton-on-Tees	Bill Rodgers	Labour
Stoke-on-Trent Central	Barnett Stross	Labour
Stoke-on-Trent North	Harriet Slater	Labour
Stoke-on-Trent South	Ellis Smith	Labour
Stratford-on-Avon	Angus Maude	Conservative
Streatham	Duncan Sandys	Conservative
Stretford	Samuel Storey	Conservative
Stroud	Anthony Kershaw	Conservative
Sudbury and Woodbridge	Keith Stainton	Conservative
Sunderland North	Frederick Willey	Labour
Sunderland South	Gordon Bagier	Labour
Surbiton	Nigel Fisher	Conservative
Surrey East	Charles Doughty	Conservative
Sutton and Cheam	Richard Sharples	Conservative
Sutton Coldfield	Geoffrey Lloyd	Conservative
Swansea East	Neil McBride	Labour
Swansea West	Alan Williams	Labour
Swindon	Francis Noel-Baker	Labour
Taunton	Edward du Cann	Conservative
Tavistock	Sir Henry Studholme	Conservative
Thirsk and Malton	Robin Turton	Conservative
Thurrock	Hugh Delargy	Labour
Tiverton	Robin Maxwell-Hyslop	Conservative
Tonbridge	Richard Hornby	Conservative
Torquay	Frederic Bennett	Conservative
Torrington	Peter Mills	Conservative
Totnes	Ray Mawby	Conservative
Tottenham	Norman Atkinson	Labour
Truro	Geoffrey Wilson	Conservative
Twickenham	Gresham Cooke	Conservative
Tynemouth	Irene Ward	Conservative
Ulster, Mid	George Forrest	Ulster Unionist
Uxbridge	Charles Curran	Conservative
Vauxhall	George Strauss	Labour
Wakefield	Walter Harrison	Labour
Wallasey	Ernest Marples	Conservative
Wallsend	Ted Garrett	Labour
Walsall North	William Wells	Labour
Walsall South	Henry d'Avigdor-Goldsmid	Conservative
Walthamstow East	John Harvey	Conservative
Walthamstow West	Edward Redhead	Labour
Wandsworth Central	David Kerr	Labour
Wanstead and Woodford	Patrick Jenkin	Conservative
Warrington	Thomas Williams	Labour Co-operative
Warwick and Leamington	John Hobson	Conservative
Watford	Raphael Tuck	Labour
Wednesbury	John Stonehouse	Labour
Wellingborough	Harry Howarth	Labour
Wells	Lynch Maydon	Conservative
Wembley North	Eric Bullus	Conservative
Wembley South	Ronald Russell	Conservative
West Bromwich	Maurice Foley	Labour
West Ham North	Arthur Lewis	Labour
West Ham South	Elwyn Jones	Labour
West Lothian	Tam Dalyell	Labour
Westbury	Dennis Walters	Conservative
Western Isles	Malcolm Macmillan	Labour
Westhoughton	Tom Price	Labour
Westmorland	Michael Jopling	Conservative
Weston-super-Mare	David Webster	Conservative
Whitehaven	Joseph Symonds	Labour
Widnes	James MacColl	Labour
Wigan	Alan Fitch	Labour
Willesden East	Reg Freeson	Labour
Willesden West	Laurence Pavitt	Labour Co-operative
Wimbledon	Cyril Black	Conservative
Winchester	Morgan Morgan-Giles	Conservative
Windsor	Charles Mott-Radclyffe	Conservative
Wirral	Selwyn Lloyd	Conservative
Woking	Cranley Onslow	Conservative
Wokingham	William van Straubenzee	Conservative
Wolverhampton North East	Renee Short	Labour
Wolverhampton South West	Enoch Powell	Conservative
Wood Green	Joyce Butler	Labour Co-operative
Woolwich East	Christopher Mayhew	Labour
Woolwich West	William Hamling	Labour
Worcester	Peter Walker	Conservative
Worcestershire, South	Sir Peter Agnew	Conservative
Workington	Fred Peart	Labour
Worthing	Terence Higgins	Conservative
The Wrekin	William Yates	Conservative
Wrexham	James Idwal Jones	Labour
Wycombe	John Hall	Conservative
Yarmouth	Anthony Fell	Conservative
Yeovil	John Peyton	Conservative
York	Charles Longbottom	Conservative
