constituency	name	party
Crewe and Nantwich	Gwyneth Dunwoody	Labour
Crosby	Malcolm Thornton	Conservative
Croydon Central	Sir Paul Beresford	Conservative
Croydon North East	David Congdon	Conservative
Croydon North West	Malcolm Wicks	Labour
Croydon South	Richard Ottaway	Conservative
Cumbernauld & Kilsyth	Norman Hogg	Labour
Cunninghame North	Brian Wilson	Labour
Cunninghame South	Brian Donohoe	Labour
Cynon Valley	Ann Clwyd	Labour
Dagenham	Bryan Gould	Labour
Darlington	Alan Milburn	Labour
Dartford	Bob Dunn	Conservative
Daventry	Tim Boswell	Conservative
Davyhulme	Winston Churchill	Conservative
Delyn	David Hanson	Labour
Denton and Reddish	Andrew Bennett	Labour
Derby North	Greg Knight	Conservative
Derby South	Margaret Beckett	Labour
Derbyshire North East	Harry Barnes	Labour
Derbyshire South	Edwina Currie	Conservative
Derbyshire West	Patrick McLoughlin	Conservative
Devizes	Michael Ancram	Conservative
Devon North	Nick Harvey	Liberal Democrat
Dewsbury	Ann Taylor	Labour
Don Valley	Martin Redmond	Labour
Doncaster Central	Sir Harold Walker	Labour
Doncaster North	Kevin Hughes	Labour
Dorset North	Nicholas Baker	Conservative
Dorset South	Ian Bruce	Conservative
Dorset West	Sir James Spicer	Conservative
Dover	David Shaw	Conservative
Down North	Sir James Kilfedder	Ulster Popular Unionist
Down South	Eddie McGrady	Social Democratic and Labour
Dudley East	Dr John Gilbert	Labour
Dudley West	John Blackburn	Conservative
Dulwich	Tessa Jowell	Labour
Dumbarton	John McFall	Labour
Dumfries	Sir Hector Monro	Conservative
Dundee East	John McAllion	Labour
Dundee West	Ernie Ross	Labour
Dunfermline East	Gordon Brown	Labour
Dunfermline West	Rachel Squire	Labour
Durham, City of	Gerry Steinberg	Labour
Durham North	Giles Radice	Labour
Durham North West	Hilary Armstrong	Labour
Ealing Acton	Sir George Young	Conservative
Ealing North	Harry Greenway	Conservative
Ealing Southall	Piara Khabra	Labour
Easington	John Cummings	Labour
East Kilbride	Adam Ingram	Labour
East Lindsey	Sir Peter Tapsell	Conservative
East Lothian	John Home Robertson	Labour
Eastbourne	Nigel Waterson	Conservative
Eastleigh	Stephen Milligan	Conservative
Eastwood	Allan Stewart	Conservative
Eccles	Joan Lestor	Labour
Eddisbury	Alastair Goodlad	Conservative
Edinburgh Central	Alistair Darling	Labour
Edinburgh East	Gavin Strang	Labour
Edinburgh Leith	Malcolm Chisholm	Labour
Edinburgh Pentlands	Malcolm Rifkind	Conservative
Edinburgh South	Nigel Griffiths	Labour
Edinburgh West	Lord James Douglas-Hamilton	Conservative
Edmonton	Dr Ian Twinn	Conservative
Ellesmere Port and Neston	Andrew Miller	Labour
Elmet	Spencer Batiste	Conservative
Eltham	Peter Bottomley	Conservative
Enfield North	Timothy Eggar	Conservative
Enfield Southgate	Michael Portillo	Conservative
Epping Forest	Steven Norris	Conservative
Epsom & Ewell	Hon. Archie Hamilton	Conservative
Erewash	Angela Knight	Conservative
Erith and Crayford	David Evennett	Conservative
Esher	Ian Taylor	Conservative
Exeter	Sir John Hannam	Conservative
Falkirk East	Michael Connarty	Labour
Falkirk West	Dennis Canavan	Labour
Falmouth and Camborne	Sebastian Coe	Conservative
Fareham	Peter Lloyd	Conservative
Faversham	Sir Roger Moate	Conservative
Feltham and Heston	Alan Keen	Labour Co-operative
Fermanagh & South Tyrone	Ken Maginnis	Ulster Unionist
Fife Central	Henry McLeish	Labour
Fife North East	Menzies Campbell	Liberal Democrat
Finchley	Hartley Booth	Conservative
Folkestone and Hythe	Michael Howard	Conservative
Foyle	John Hume	Social Democratic and Labour
Fulham	Matthew Carrington	Conservative
Fylde	Michael Jack	Conservative
Gainsborough and Horncastle	Edward Leigh	Conservative
Galloway and Upper Nithsdale	Ian Lang	Conservative
Gateshead East	Joyce Quin	Labour
Gedling	Andrew Mitchell	Conservative
Gillingham	James Couchman	Conservative
Glanford and Scunthorpe	Elliot Morley	Labour
Glasgow Cathcart	John Maxton	Labour
Glasgow Central	Mike Watson	Labour
Glasgow Garscadden	Donald Dewar	Labour
Glasgow Govan	Ian Davidson	Labour
Glasgow Hillhead	George Galloway	Labour
Glasgow Maryhill	Maria Fyfe	Labour
Glasgow Pollok	Jimmy Dunnachie	Labour
Glasgow Provan	Jimmy Wray	Labour
Glasgow Rutherglen	Tommy McAvoy	Labour
Glasgow Shettleston	David Marshall	Labour
Glasgow Springburn	Michael Martin	Labour
Gloucester	Douglas French	Conservative
Gloucestershire West	Paul Marland	Conservative
Gordon	Malcolm Bruce	Liberal Democrat
Gosport	Peter Viggers	Conservative
Gower	Gareth Wardell	Labour
Grantham	Hon. Douglas Hogg	Conservative
Gravesham	Jacques Arnold	Conservative
Great Grimsby	Austin Mitchell	Labour
Great Yarmouth	Michael Carttiss	Conservative
Greenock and Port Glasgow	Norman Godman	Labour
Greenwich	Nick Raynsford	Labour
Guildford	David Howell	Conservative
Hackney North and Stoke Newington	Diane Abbott	Labour
Hackney South and Shoreditch	Brian Sedgemore	Labour
Halesowen and Stourbridge	Warren Hawksley	Conservative
Halifax	Alice Mahon	Labour
Halton	Gordon Oakes	Labour
Hamilton	George Robertson	Labour
Hammersmith	Clive Soley	Labour
Hampstead and Highgate	Glenda Jackson	Labour
Hampshire East	Michael Mates	Conservative
Hampshire North West	Sir David Mitchell	Conservative
Harborough	Edward Garnier	Conservative
Harlow	Jerry Hayes	Conservative
Harrogate	Robert Banks	Conservative
Harrow East	Hugh Dykes	Conservative
Harrow West	Robert Hughes	Conservative
Hartlepool	Peter Mandelson	Labour
Harwich	Iain Sproat	Conservative
Hastings and Rye	Jacqui Lait	Conservative
Havant	David Willetts	Conservative
Hayes and Harlington	Terry Dicks	Conservative
Hazel Grove	Sir Tom Arnold	Conservative
Hemsworth	Derek Enright	Labour
Hendon North	Sir John Gorst	Conservative
Hendon South	John Marshall	Conservative
Henley	Michael Heseltine	Conservative
Hereford	Colin Shepherd	Conservative
Hertford & Stortford	Sir Bowen Wells	Conservative
Hertfordshire North	Oliver Heald	Conservative
Hertfordshire South West	Richard Page	Conservative
Hertfordshire West	Robert Jones	Conservative
Hertsmere	James Clappison	Conservative
Hexham	Peter Atkinson	Conservative
Heywood and Middleton	James Callaghan	Labour
High Peak	Charles Hendry	Conservative
Holborn and St. Pancras	Frank Dobson	Labour
Holland-with-Boston	Sir Richard Body	Conservative
Honiton	Sir Peter Emery	Conservative
Hornchurch	Robin Squire	Conservative
Hornsey and Wood Green	Barbara Roche	Labour
Horsham	Sir Peter Hordern	Conservative
Houghton and Washington	Roland Boyes	Labour
Hove	Sir Tim Sainsbury	Conservative
Huddersfield	Barry Sheerman	Labour
Huntingdon	John Major	Conservative
Hyndburn	Greg Pope	Labour
Ilford North	Vivian Bendall	Conservative
Ilford South	Mike Gapes	Labour Co-operative
Inverness, Nairn and Lochaber	Sir Russell Johnston	Liberal Democrat
Ipswich	Jamie Cann	Labour
Isle of Wight	Barry Field	Conservative
Islington North	Jeremy Corbyn	Labour
Islington South and Finsbury	Chris Smith	Labour
Islwyn	Neil Kinnock	Labour
Jarrow	Donald Dixon	Labour
Keighley	Gary Waller	Conservative
Kensington	Dudley Fishburn	Conservative
Kent Mid	Andrew Rowe	Conservative
Kettering	Roger Freeman	Conservative
Kilmarnock and Loudoun	William McKelvey	Labour
Kincardine and Deeside	George Kynoch	Conservative
Kingston upon Hull East	John Prescott	Labour
Kingston upon Hull North	Kevin McNamara	Labour
Kingston upon Hull West	Stuart Randall	Labour
Kingston-upon-Thames	Norman Lamont	Conservative
Kingswood	Roger Berry	Labour
Kirkcaldy	Lewis Moonie	Labour
Knowsley North	George Howarth	Labour
Knowsley South	Edward O'Hara	Labour
Lagan Valley	James Molyneaux	Ulster Unionist
Lancashire West	Colin Pickthall	Labour
Lancaster	Dame Elaine Kellett-Bowman	Conservative
Langbaurgh	Michael Bates	Conservative
Leeds Central	Derek Fatchett	Labour
Leeds East	George Mudie	Labour
Leeds North East	Timothy Kirkhope	Conservative
Leeds North West	Dr Keith Hampson	Conservative
Leeds West	John Battle	Labour
Leicester East	Keith Vaz	Labour
Leicester South	Jim Marshall	Labour
Leicester West	Greville Janner	Labour
Leicestershire North West	David Ashby	Conservative
Leigh	Lawrence Cunliffe	Labour
Leominster	Peter Temple-Morris	Conservative
Lewes	Tim Rathbone	Conservative
Lewisham Deptford	Joan Ruddock	Labour
Lewisham East	Bridget Prentice	Labour
Lewisham West	Jim Dowd	Labour
Leyton	Harry Cohen	Labour
Lincoln	Kenneth Carlisle	Conservative
Linlithgow	Tam Dalyell	Labour
Littleborough and Saddleworth	Geoffrey Dickens	Conservative
Liverpool Broadgreen	Jane Kennedy	Labour
Liverpool Garston	Edward Loyden	Labour
Liverpool Mossley Hill	David Alton	Liberal Democrat
Liverpool Riverside	Robert Parry	Labour
Liverpool Walton	Peter Kilfoyle	Labour
Liverpool West Derby	Bob Wareing	Labour
Livingston	Robin Cook	Labour
Llanelli	Denzil Davies	Labour
Londonderry East	William Ross	Ulster Unionist
Loughborough	Stephen Dorrell	Conservative
Ludlow	Christopher Gill	Conservative
Luton North	John Carlisle	Conservative
Luton South	Graham Bright	Conservative
Macclesfield	Nicholas Winterton	Conservative
Maidstone	Ann Widdecombe	Conservative
Makerfield	Ian McCartney	Labour
Manchester Blackley	Kenneth Eastham	Labour
Manchester Central	Bob Litherland	Labour
Manchester Gorton	Gerald Kaufman	Labour
Manchester Withington	Keith Bradley	Labour
Manchester Wythenshawe	Alfred Morris	Labour
Mansfield	Alan Meale	Labour
Medway	Dame Peggy Fenner	Conservative
Meirionnydd Nant Conwy	Elfyn Llwyd	Plaid Cymru
Meriden	Iain Mills	Conservative
Merthyr Tydfil and Rhymney	Ted Rowlands	Labour
Mid Ulster	William McCrea	Democratic Unionist
Middlesbrough	Stuart Bell	Labour
Midlothian	Eric Clarke	Labour
Milton Keynes South West	Barry Legg	Conservative
Milton Keynes North East	Peter Butler	Conservative
Mitcham and Morden	Dame Angela Rumbold	Conservative
Mole Valley	Kenneth Baker	Conservative
Monklands East	John Smith	Labour
Monklands West	Tom Clarke	Labour
Monmouth	Roger Evans	Conservative
Montgomeryshire	Alex Carlile	Liberal Democrat
Moray	Margaret Ewing	Scottish National Party
Morecambe and Lunesdale	Hon. Mark Lennox-Boyd	Conservative
Morley and Leeds South	John Gunnell	Labour
Motherwell North	John Reid	Labour
Motherwell South	Jeremy Bray	Labour
Neath	Peter Hain	Labour
New Forest	Patrick McNair-Wilson	Conservative
Newark	Richard Alexander	Conservative
Newbury	Judith Chaplin	Conservative
Newcastle-under-Lyme	Llin Golding	Labour
Newcastle upon Tyne Central	Jim Cousins	Labour
Newcastle upon Tyne East	Nick Brown	Labour
Newcastle upon Tyne North	Doug Henderson	Labour
Newham North East	Ron Leighton	Labour
Newham North West	Tony Banks	Labour
Newham South	Nigel Spearing	Labour
Newport East	Roy Hughes	Labour
Newport West	Paul Flynn	Labour
Newry & Armagh	Seamus Mallon	Social Democratic and Labour
Normanton	Bill O'Brien	Labour
Norfolk Mid	Richard Ryder	Conservative
Norfolk North	Ralph Howell	Conservative
Norfolk South	John MacGregor	Conservative
Norfolk South West	Gillian Shephard	Conservative
Norfolk North West	Henry Bellingham	Conservative
Northampton North	Antony Marlow	Conservative
Northampton South	Michael Morris	Conservative
Northavon	Sir John Cope	Conservative
Norwich North	Patrick Thompson	Conservative
Norwich South	John Garrett	Labour
Norwood	John Fraser	Labour
Nottingham East	John Heppell	Labour
Nottingham North	Graham Allen	Labour
Nottingham South	Alan Simpson	Labour
Nuneaton	Bill Olner	Labour
Ogmore	Ray Powell	Labour
Old Bexley and Sidcup	Sir Edward Heath	Conservative
Oldham Central and Royton	Bryan Davies	Labour
Oldham West	Michael Meacher	Labour
Orkney and Shetland	Jim Wallace	Liberal Democrat
Orpington	John Horam	Conservative
Oxford East	Andrew Smith	Labour
Oxford West and Abingdon	John Patten	Conservative
Paisley North	Irene Adams	Labour
Paisley South	Gordon McMaster	Labour
Peckham	Harriet Harman	Labour
Pembrokeshire	Nick Ainger	Labour
Pendle	Gordon Prentice	Labour
Penrith and the Border	David Maclean	Conservative
Perth and Kinross	Sir Nicholas Fairbairn	Conservative
Peterborough	Dr Brian Mawhinney	Conservative
Plymouth Devonport	David Jamieson	Labour
Plymouth Drake	Dame Janet Fookes	Conservative
Plymouth Sutton	Gary Streeter	Conservative
Pontefract and Castleford	Geoffrey Lofthouse	Labour
Pontypridd	Kim Howells	Labour
Poole	John Ward	Conservative
Portsmouth North	Peter Griffiths	Conservative
Portsmouth South	David Martin	Conservative
Preston	Audrey Wise	Labour
Pudsey	Sir Giles Shaw	Conservative
Putney	David Mellor	Conservative
Ravensbourne	Sir John Hunt	Conservative
Reading East	Sir Gerard Vaughan	Conservative
Reading West	Sir Tony Durant	Conservative
Redcar	Mo Mowlam	Labour
Reigate	Sir George Gardiner	Conservative
Renfrew West and Inverclyde	Tommy Graham	Labour
Rhondda	Allan Rogers	Labour
Ribble Valley	Nigel Evans	Conservative
Ribble South	Robert Atkins	Conservative
Richmond 	William Hague	Conservative
Richmond and Barnes	Jeremy Hanley	Conservative
Rochdale	Liz Lynne	Liberal Democrat
Rochford	Dr Michael Clark	Conservative
Romford	Sir Michael Neubert	Conservative
Romsey and Waterside	Michael Colvin	Conservative
Ross, Cromarty and Skye	Charles Kennedy	Liberal Democrat
Rossendale and Darwen	Janet Anderson	Labour
Rother Valley	Kevin Barron	Labour
Rotherham	James Boyce	Labour
Roxburgh and Berwickshire	Archy Kirkwood	Liberal Democrat
Rugby and Kenilworth	Jim Pawsey	Conservative
Ruislip-Northwood	John Wilkinson	Conservative
Rushcliffe	Kenneth Clarke	Conservative
Rutland and Melton	Alan Duncan	Conservative
Ryedale	John Greenway	Conservative
Saffron Walden	Alan Haselhurst	Conservative
St Albans	Peter Lilley	Conservative
St Helens North	John Evans	Labour
St Helens South	Gerry Bermingham	Labour
St Ives	David Harris	Conservative
Salford East	Stanley Orme	Labour
Salisbury	Robert Key	Conservative
Scarborough	John Sykes	Conservative
Sedgefield	Tony Blair	Labour
Selby	Michael Alison	Conservative
Sevenoaks	Mark Wolfson	Conservative
Sheffield Attercliffe	Clive Betts	Labour
Sheffield Brightside	David Blunkett	Labour
Sheffield Central	Richard Caborn	Labour
Sheffield Hallam	Sir Irvine Patnick	Conservative
Sheffield Heeley	Bill Michie	Labour
Sheffield Hillsborough	Helen Jackson	Labour
Sherwood	Paddy Tipping	Labour
Shipley	Sir Marcus Fox	Conservative
Shoreham	Michael Stephen	Conservative
Shrewsbury and Atcham	Derek Conway	Conservative
Shropshire North	John Biffen	Conservative
Skipton and Ripon	David Curry	Conservative
Slough	John Watts	Conservative
Solihull	John M. Taylor	Conservative
Somerton and Frome	Mark Robinson	Conservative
South Hams	Anthony Steen	Conservative
South Shields	Dr David Clark	Labour
Southampton Itchen	John Denham	Labour
Southampton Test	Sir James Hill	Conservative
Southend East	Sir Teddy Taylor	Conservative
Southend West	Paul Channon	Conservative
Southport	Matthew Banks	Conservative
Southwark and Bermondsey	Simon Hughes	Liberal Democrat
Spelthorne	David Wilshire	Conservative
Stafford	Bill Cash	Conservative
Staffordshire Mid	Michael Fabricant	Conservative
Staffordshire Moorlands	Sir David Knox	Conservative
Staffordshire South	Patrick Cormack	Conservative
Staffordshire South East	David Lightbown	Conservative
Stalybridge and Hyde	Tom Pendry	Labour
Stamford and Spalding	Quentin Davies	Conservative
Stevenage	Timothy Wood	Conservative
Stirling	Michael Forsyth	Conservative
Stockport	Ann Coffey	Labour
Stockton North	Frank Cook	Labour
Stockton South	Tim Devlin	Conservative
Stoke-on-Trent Central	Mark Fisher	Labour
Stoke-on-Trent North	Joan Walley	Labour
Stoke-on-Trent South	George Stevenson	Labour
Strangford	John D. Taylor	Ulster Unionist
Stratford-on-Avon	Alan Howarth	Conservative
Strathkelvin and Bearsden	Dr Sam Galbraith	Labour
Streatham	Keith Hill	Labour
Stretford	Tony Lloyd	Labour
Stroud	Roger Knapman	Conservative
Suffolk Central	Michael Lord	Conservative
Suffolk Coastal	John Gummer	Conservative
Suffolk South	Tim Yeo	Conservative
Sunderland North	Bill Etherington	Labour
Sunderland South	Chris Mullin	Labour
Surbiton	Richard Tracey	Conservative
Surrey East	Peter Ainsworth	Conservative
Surrey North West	Sir Michael Grylls	Conservative
Surrey South West	Virginia Bottomley	Conservative
Sussex Mid	Tim Renton	Conservative
Sutton and Cheam	Lady Olga Maitland	Conservative
Sutton Coldfield	Sir Norman Fowler	Conservative
Swansea East	Donald Anderson	Labour
Swansea West	Alan J. Williams	Labour
Swindon	Simon Coombs	Conservative
Tatton	Neil Hamilton	Conservative
Taunton	David Nicholson	Conservative
Tayside North	Bill Walker	Conservative
Thanet North	Roger Gale	Conservative
Thanet South	Jonathan Aitken	Conservative
Teignbridge	Patrick Nicholls	Conservative
Thurrock	Andrew Mackinlay	Labour
Tiverton	Angela Browning	Conservative
Tonbridge and Malling	Sir John Stanley	Conservative
Tooting	Tom Cox	Labour
Torbay	Rupert Allason	Conservative
Torfaen	Paul Murphy	Labour
Torridge and West Devon	Emma Nicholson	Conservative
Tottenham	Bernie Grant	Labour
Truro	Matthew Taylor	Liberal Democrat
Tunbridge Wells	Sir Patrick Mayhew	Conservative
Tweeddale, Ettrick and Lauderdale	Sir David Steel	Liberal Democrat
Twickenham	Toby Jessel	Conservative
Tyne Bridge	David Clelland	Labour
Tynemouth	Neville Trotter	Conservative
Upminster	Sir Nicholas Bonsor	Conservative
Upper Bann	David Trimble	Ulster Unionist
Uxbridge	Michael Shersby	Conservative
Vale of Glamorgan	Walter Sweeney	Conservative
Vauxhall	Kate Hoey	Labour
Wakefield	David Hinchliffe	Labour
Wallasey	Angela Eagle	Labour
Wallsend	Stephen Byers	Labour
Walsall North	David Winnick	Labour
Walsall South	Bruce George	Labour
Walthamstow	Neil Gerrard	Labour
Wansbeck	Jack Thompson	Labour
Wansdyke	Jack Aspinwall	Conservative
Wanstead and Woodford	James Arbuthnot	Conservative
Wantage	Robert V. Jackson	Conservative
Warley East	Andrew Faulds	Labour
Warley West	John Spellar	Labour
Warrington North	Doug Hoyle	Labour
Warrington South	Mike Hall	Labour
Warwick and Leamington	Sir Dudley Smith	Conservative
Warwickshire North	Mike O'Brien	Labour
Watford	Tristan Garel-Jones	Conservative
Waveney	David Porter	Conservative
Wealden	Sir Geoffrey Johnson Smith	Conservative
Wellingborough	Sir Peter Fry	Conservative
Wells	David Heathcoat-Amory	Conservative
Welwyn Hatfield	David Evans	Conservative
Wentworth	Peter Hardy	Labour
West Bromwich East	Peter Snape	Labour
West Bromwich West	Betty Boothroyd	Labour
Westbury	David Faber	Conservative
Western Isles	Calum MacDonald	Labour
Westminster North	Sir John Wheeler	Conservative
Westmorland and Lonsdale	Michael Jopling	Conservative
Weston-super-Mare	Sir Jerry Wiggin	Conservative
Wigan	Roger Stott	Labour
Wiltshire North	Richard Needham	Conservative
Wimbledon	Dr Charles Goodson-Wickes	Conservative
Winchester	Gerry Malone	Conservative
Windsor and Maidenhead	Hon. Michael Trend	Conservative
Wirral South	Barry Porter	Conservative
Wirral West	David Hunt	Conservative
Witney	Hon. Douglas Hurd	Conservative
Woking	Sir Cranley Onslow	Conservative
Wokingham	John Redwood	Conservative
Wolverhampton North East	Ken Purchase	Labour Co-operative
Wolverhampton South East	Dennis Turner	Labour Co-operative
Wolverhampton South West	Nicholas Budgen	Conservative
Woodspring	Dr Liam Fox	Conservative
Woolwich	John Austin-Walker	Labour
Worcester	Peter Luff	Conservative
Worcestershire Mid	Eric Forth	Conservative
Worcestershire South	Michael Spicer	Conservative
Workington	Dale Campbell-Savours	Labour
Worsley	Terence Lewis	Labour
Worthing	Sir Terence Higgins	Conservative
The Wrekin	Bruce Grocott	Labour
Wrexham	Dr John Marek	Labour
Wycombe	Ray Whitney	Conservative
Wyre	Keith Mans	Conservative
Wyre Forest	Anthony Coombs	Conservative
Yeovil	Paddy Ashdown	Liberal Democrat
Ynys Môn	Ieuan Wyn Jones	Plaid Cymru
York	Hugh Bayley	Labour
