By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Leicester North East	12 July 1962	Sir Lynn Ungoed-Thomas	Labour	Tom Bradley	Labour	Appointment as High Court Judge
West Lothian	14 June 1962	John Taylor	Labour	Tam Dalyell	Labour	Death
West Derbyshire	6 June 1962	Edward Wakefield	Conservative	Aidan Crawley	Conservative	Appointment as Commissioner for Malta
Middlesbrough West	6 June 1962	Sir Jocelyn Simon	Conservative	Jeremy Bray	Labour	Appointment as President of Probate Division of the High Court
Montgomeryshire	15 May 1962	Clement Davies	Liberal	Emlyn Hooson	Liberal	Death
Derby North	17 April 1962	Clifford Wilcock	Labour	Niall MacDermot	Labour	Death
Stockton-on-Tees	5 April 1962	George Chetwynd	Labour	Bill Rodgers	Labour	Appointment as director of North-East Development Council
Pontefract	22 March 1962	George Sylvester	Labour	Joseph Harper	Labour	Death
Orpington	14 March 1962	Donald Sumner	Conservative	Eric Lubbock	Liberal	Appointment as County Court Judge
Middlesbrough East	14 March 1962	Hilary Marquand	Labour	Arthur Bottomley	Labour	Appointment as director of International Institute for Labour Studies, Geneva
Blackpool North	13 March 1962	Toby Low	Conservative	Norman Miscampbell	Conservative	Hereditary peerage
Lincoln	8 March 1962	Geoffrey de Freitas	Labour	Dick Taverne	Labour	Appointed as High Commissioner to Ghana
Glasgow Bridgeton	16 November 1961	James Carmichael	Labour	James Bennett	Labour	Resignation (ill-health?)
Oswestry	9 November 1961	William Ormsby-Gore	Conservative	John Biffen	Conservative	Appointment as Ambassador to the United States
East Fife	9 November 1961	Sir James Henderson-Stewart, Bt.	Conservative	Sir John E. Gilmour	Conservative	Death
Manchester Moss Side	8 November 1961	James Watts	Conservative	Frank Taylor	Conservative	Death
Bristol South East	4 May 1961	Tony Benn	Labour	Malcolm St Clair	Conservative	Succession to peerage
Warrington	20 April 1961	Dr Edith Summerskill	Labour	Thomas Williams	Labour	Life peerage
Paisley	20 April 1961	Douglas Johnston	Labour	John Robertson	Labour	Appointment to Court of Session
Birmingham Small Heath	23 March 1961	William Wheeldon	Labour	Denis Howell	Labour	Death
Worcester	16 March 1961	George Ward	Conservative	Peter Walker	Conservative	Hereditary peerage
High Peak	16 March 1961	High Molson	Conservative	David Walder	Conservative	Life peerage
Colchester	16 March 1961	Cuthbert Alport	Conservative	Antony Buck	Conservative	Life peerage on appointment as High Commissioner to Rhodesia
Cambridgeshire	16 March 1961	Gerald Howard	Conservative	Francis Pym	Conservative	Appointment as High Court Judge
Blyth	24 November 1960	Alfred Robens	Labour	Eddie Milne	Labour	Appointment as chairman of National Coal Board
Ebbw Vale	17 November 1960	Aneurin Bevan	Labour	Michael Foot	Labour	Death
Tiverton	16 November 1960	Derick Heathcoat-Amory	Conservative	Robin Maxwell-Hyslop	Conservative	Hereditary peerage
Petersfield	16 November 1960	Hon. Peter Legh	Conservative	Joan Quennell	Conservative	Succession to peerage
Ludlow	16 November 1960	Christopher Holland-Martin	Conservative	Jasper More	Conservative	Death
Carshalton	16 November 1960	Antony Head	Conservative	Walter Elliot	Conservative	Hereditary peerage on appointment as High Commissioner to Nigeria
Bolton East	16 November 1960	Philip Bell	Conservative	Edwin Taylor	Conservative	Appointment as County Court Judge
Mid Bedfordshire	16 November 1960	Alan Lennox-Boyd	Conservative	Stephen Hastings	Conservative	Hereditary peerage
Edinburgh North	19 May 1960	William Rankine Milligan	Conservative	John Montagu-Douglas-Scott, Earl of Dalkeith	Conservative	Appointment to Court of Session
Harrow West	17 March 1960	Sir Albert Braithwaite	Conservative	John Page	Conservative	Death (suicide)
Brighouse and Spenborough	17 March 1960	Lewis John Edwards	Labour	Michael Shaw	Conservative	Death
Whitehaven	18 June 1959	Frank Anderson	Labour	Joseph Symonds	Labour	Death
Penistone	11 June 1959	Henry McGhee	Labour	John Mendelson	Labour	Death
Galloway	9 April 1959	John Mackie	Conservative	John Brewis	Conservative	Death
South West Norfolk	25 March 1959	Sidney Dye	Labour	Albert Hilton	Labour	Death (road accident)
Harrow East	19 March 1959	Ian Harvey	Conservative	Anthony Courtney	Conservative	Resignation (scandal)
Belfast East	19 March 1959	Alan McKibbin	UUP	Stanley McMaster	UUP	Death
Southend West	29 January 1959	Sir Henry Channon	Conservative	Paul Channon	Conservative	Death
Shoreditch and Finsbury	27 November 1958	Victor Collins	Labour	Michael Cliffe	Labour	Elevation to a life peerage
East Aberdeenshire	20 November 1958	Sir Robert Boothby	Conservative	Patrick Wolrige-Gordon	Conservative	Elevation to a life peerage
Pontypool	10 November 1958	Granville West	Labour	Leo Abse	Labour	Elevation to a life peerage
Chichester	6 November 1958	Hon. Sir Lancelot Joynson-Hicks	Conservative	Walter Loveys	Conservative	Succession to the peerage
Morecambe and Lonsdale	6 November 1958	Sir Ian Fraser	Conservative	Basil de Ferranti	Conservative	Elevation to a life peerage
Argyll	12 June 1958	Sir Duncan McCallum	Conservative	Michael Noble	Conservative	Death
Weston-super-Mare	12 June 1958	Sir Ian Orr-Ewing	Conservative	David Webster	Conservative	Death
Wigan	12 June 1958	Ronald Williams	Labour	Alan Fitch	Labour	Death
St Helens	12 June 1958	Sir Hartley Shawcross	Labour	Leslie Spriggs	Labour	Resignation
Ealing South	12 June 1958	Angus Maude	Conservative	Brian Batsford	Conservative	Resignation
Islington North	15 May 1958	Wilfred Fienburgh	Labour	Gerald Reynolds	Labour	Death (road accident)
Torrington	27 March 1958	George Lambert	Liberal National and Conservative	Mark Bonham-Carter	Liberal	Succession to peerage
Glasgow Kelvingrove	13 March 1958	Walter Elliot	Conservative	Mary McAlister	Labour	Death
Rochdale	12 February 1958	Wentworth Schofield	Conservative	Jack McCann	Labour	Death
Liverpool Garston	5 December 1957	Sir Victor Raikes	Conservative / Independent Conservative	Richard Bingham	Conservative	Resignation (dispute with party)
Leicester South-East	28 November 1957	Charles Waterhouse	Conservative	John Peel	Conservative	Resignation
Ipswich	24 October 1957	Richard Stokes	Labour	Dingle Foot	Labour	Death
Gloucester	12 September 1957	Moss Turner-Samuels	Labour	Jack Diamond	Labour	Death
North Dorset	27 June 1957	Robert Crouch	Conservative	Richard Glyn	Conservative	Death
Hornsey	30 May 1957	Sir David Gammans	Conservative	Lady Muriel Gammans	Conservative	Death
East Ham North	30 May 1957	Percy Daines	Labour	Reginald Prentice	Labour	Death
Edinburgh South	29 May 1957	Sir William Darling	Conservative	Michael Hutchison	Conservative	Resignation
Newcastle-upon-Tyne North	21 March 1957	Gwilym Lloyd George	Liberal National and Conservative	William Elliott	Conservative	Elevation to a hereditary peerage
Beckenham	21 March 1957	Patrick Buchan-Hepburn	Conservative	Philip Goodhart	Conservative	Elevation to a hereditary peerage
Warwick and Leamington	7 March 1957	Sir Anthony Eden	Conservative	John Hobson	Conservative	Resignation due to ill health
Bristol West	7 March 1957	Walter Monckton	Conservative	Robert Cooke	Conservative	Elevation to a hereditary peerage
Carmarthen	28 February 1957	Rhys Hopkin Morris	Liberal	Megan Lloyd George	Labour	Death
Wednesbury	28 February 1957	Stanley Evans	Labour	John Stonehouse	Labour	Resignation (disagreement with party over Suez)
Lewisham North	14 February 1957	Sir Austin Hudson, Bt.	Conservative	Niall MacDermot	Labour	Death
Melton	19 December 1956	Anthony Nutting	Conservative	Mervyn Pike	Conservative	Resignation (disagreement with party over Suez)
City of Chester	15 November 1956	Basil Nield	Conservative	John Temple	Conservative	Recorder of Manchester
Chester-le-Street	27 September 1956	Patrick Bartley	Labour	Norman Pentland	Labour	Death
Newport	6 July 1956	Peter Freeman	Labour	Sir Frank Soskice	Labour	Death
Tonbridge	7 June 1956	Gerald Williams	Conservative	Richard Hornby	Conservative	Resignation
Mid Ulster	8 May 1956	Charles Beattie	UUP	George Forrest	Independent Unionist	Disqualification
Walthamstow West	1 March 1956	Clement Attlee	Labour	Edward Redhead	Labour	Elevation to a hereditary peerage
Taunton	14 February 1956	Henry Hopkinson	Conservative	Edward du Cann	Conservative	Elevation to a hereditary peerage
Gainsborough	14 February 1956	Harry Crookshank	Conservative	Marcus Kimball	Conservative	Elevation to a hereditary peerage
Hereford	14 February 1956	James Thomas	Conservative	David Gibson-Watt	Conservative	Elevation to a hereditary peerage
Leeds North East	9 February 1956	Osbert Peake	Conservative	Sir Keith Joseph, Bt.	Conservative	Elevation to a hereditary peerage
Blaydon	2 February 1956	William Whiteley	Labour	Robert Woof	Labour	Death
Torquay	15 December 1955	Charles Williams	Conservative	Frederic Bennett	Conservative	Death
Greenock	8 December 1955	Hector McNeil	Labour	Dickson Mabon	Labour	Death
Gateshead West	7 December 1955	John Hall	Labour	Harry Randall	Labour	Death
Mid Ulster	11 August 1955	Tom Mitchell	Sinn Féin	Charles Beattie	UUP	Disqualification
Wrexham	17 March 1955	Robert Richards	Labour	Idwal Jones	Labour	Death
Stockport South	3 February 1955	Arnold Gridley	Conservative	Harold Steward	Conservative	Elevation to a hereditary peerage
Edinburgh North	27 January 1955	James Clyde	Conservative	William Rankine Milligan	Conservative	Lord President, Court of Session
Twickenham	25 January 1955	Edward Keeling	Conservative	Roger Gresham Cooke	Conservative	Death
Orpington	20 January 1955	Waldron Smithers	Conservative	Donald Sumner	Conservative	Death
South Norfolk	13 January 1955	Peter Baker	Conservative	John Hill	Conservative	Expelled from the House (convicted of fraud)
Inverness	21 December 1954	Malcolm Douglas-Hamilton	Conservative	Neil McLean	Conservative	Resignation
Armagh	20 November 1954	James Harden	UUP	Christopher Armstrong	UUP	Resignation
Liverpool West Derby	18 November 1954	Sir David Maxwell Fyfe	Conservative	John Woollam	Conservative	Hereditary peerage on appointment as Lord High Chancellor of Great Britain
Morpeth	4 November 1954	Robert Taylor	Labour	Will Owen	Labour	Death
Sutton and Cheam	4 November 1954	Sydney Marshall	Conservative	Richard Sharples	Conservative	Resignation
Aberdare	28 October 1954	David Thomas	Labour	Arthur Probert	Labour	Death
Aldershot	28 October 1954	Oliver Lyttelton	Conservative	Eric Errington	Conservative	Elevation to a hereditary peerage
Wakefield	21 October 1954	Arthur Greenwood	Labour	Arthur Creech Jones	Labour	Death
Shoreditch and Finsbury	21 October 1954	Ernest Thurtle	Labour	Victor Collins	Labour	Death
Croydon East	30 September 1954	Herbert Williams	Conservative	John Hughes-Hallett	Conservative	Death
Motherwell	14 April 1954	Alexander Anderson	Labour	George Lawson	Labour	Death
Edinburgh East	8 April 1954	John Wheatley	Labour	Eustace Willis	Labour	Judge, Court of Session
Harrogate	11 March 1954	Christopher York	Conservative	James Ramsden	Conservative	Resignation
Arundel and Shoreham	9 March 1954	William Cuthbert	Conservative	Henry Kerby	Conservative	Resignation
Bournemouth West	18 February 1954	Viscount Cranborne	Conservative	John Eden	Conservative	Resignation
Harwich	11 February 1954	Stanley Holmes	Liberal National and Conservative	Julian Ridsdale	Liberal National and Conservative	Elevation to a hereditary peerage
Haltemprice	11 February 1954	Richard Law	Conservative	Patrick Wall	Conservative	Elevation to a hereditary peerage
Ilford North	3 February 1954	Geoffrey Hutchinson	Conservative	Tom Iremonger	Conservative	Chairman, National Assistance Board
Paddington North	3 December 1953	William J. Field	Labour	Ben Parkin	Labour	Resignation (scandal)
Holborn and St Pancras South	19 November 1953	Santo Jeger	Labour	Lena Jeger	Labour	Death
Ormskirk	12 November 1953	Arthur Salter	Conservative	Douglas Glover	Conservative	Elevation to a hereditary peerage
Crosby	12 November 1953	Malcolm Bullock	Conservative	Graham Page	Conservative	Resignation
Broxtowe	17 September 1953	Seymour Cocks	Labour	William Warbey	Labour	Death
Birmingham Edgbaston	2 July 1953	Peter Bennett	Conservative	Edith Pitt	Conservative	Elevation to a hereditary peerage
Abingdon	30 June 1953	Ralph Glyn	Conservative	Airey Neave	Conservative	Elevation to a hereditary peerage
Sunderland South	13 May 1953	Richard Ewart	Labour	Paul Williams	Conservative	Death
North Down	15 April 1953	Walter Smiles	UUP	Patricia Ford	UUP	Death (drowned in ferry disaster)
Hayes and Harlington	1 April 1953	Walter Ayles	Labour	Arthur Skeffington	Labour	Resignation
Stoke-on-Trent North	31 March 1953	Albert Davies	Labour	Harriet Slater	Labour	Death
Barnsley	31 March 1953	Sidney Schofield	Labour	Roy Mason	Labour	Resignation
Isle of Thanet	12 March 1953	Hon. Edward Carson	Conservative	William Rees-Davies	Conservative	Resignation
Canterbury	12 February 1953	John Baker White	Conservative	Leslie Thomas	Conservative	Resignation
Farnworth	27 November 1952	George Tomlinson	Labour	Ernest Thornton	Labour	Death
Birmingham Small Heath	27 November 1952	Fred Longden	Labour	William Wheeldon	Labour	Death
Belfast South	4 November 1952	Connolly Gage	UUP	David Campbell	UUP	Resignation
Wycombe	4 November 1952	Hon. William Astor	Conservative	John Hall	Conservative	Succession to the peerage
North Antrim	27 October 1952	Sir Hugh O'Neill	UUP	Phelim O'Neill	UUP	Resignation
Cleveland	23 October 1952	George Willey	Labour	Arthur Palmer	Labour	Death
Dundee East	17 July 1952	Thomas Cook	Labour	George Thomson	Labour	Death (road accident)
Leeds South East	7 February 1952	James Milner	Labour	Denis Healey	Labour	Elevation to a hereditary peerage
Southport	6 February 1952	Robert Hudson	Conservative	Roger Fleetwood-Hesketh	Conservative	Elevation to a hereditary peerage
Bournemouth East and Christchurch	6 February 1952	Brendan Bracken	Conservative	Nigel Nicolson	Conservative	Elevation to a hereditary peerage
Westhoughton	21 June 1951	Rhys Davies	Labour	Tom Price	Labour	Illness
Woolwich East	14 June 1951	Ernest Bevin	Labour	Christopher Mayhew	Labour	Death
Londonderry	19 May 1951	Ronald Ross	UUP	William Wellwood	UUP	Appointment as Northern Ireland Government Agent in London
Harrow West	21 April 1951	Norman Bower	Conservative	Albert Braithwaite	Conservative	Resignation
Ormskirk	5 April 1951	Ronald Cross	Conservative	Arthur Salter	Conservative	Appointment as Governor of Tasmania
Bristol West	15 February 1951	Oliver Stanley	Conservative	Walter Monckton	Conservative	Death
Abertillery	30 November 1950	George Daggar	Labour	Llywelyn Williams	Labour	Death
Bristol South East	30 November 1950	Stafford Cripps	Labour	Tony Benn	Labour	Resignation (ill-health)
Belfast West	29 November 1950	James Godfrey MacManaway	UUP	Thomas Teevan	UUP	Disqualified
Birmingham Handsworth	16 November 1950	Harold Roberts	Conservative	Edward Boyle	Conservative	Death
Oxford	2 November 1950	Quintin Hogg	Conservative	Lawrence Turner	Conservative	Succession to the Peerage
Glasgow Scotstoun	25 October 1950	Sir Arthur Young, Bt	Conservative	James Hutchison	Conservative	Death
