constituency	name	party
Salisbury	John Morrison	Conservative
Scarborough and Whitby	Sir Alexander Spearman	Conservative
Sedgefield	Joseph Slater	Labour
Sevenoaks	Sir John Rodgers	Conservative
Sheffield Attercliffe	John Hynd	Labour
Sheffield Brightside	Richard Winterbottom	Labour
Sheffield Hallam	John Osborn	Conservative & Liberal
Sheffield Heeley	Peter Roberts	Conservative & Liberal
Sheffield Hillsborough	George Darling	Labour
Sheffield Park	Frederick Mulley	Labour
Shipley	Geoffrey Hirst	Conservative
Shoreditch and Finsbury	Michael Cliffe	Labour
Shrewsbury	John Langford-Holt	Conservative
Skipton	Burnaby Drayson	Conservative
Smethwick	Patrick Gordon Walker	Labour
Solihull	Martin Lindsay	Conservative
Somerset North	Edwin Leather	Conservative
South Shields	James Chuter Ede	Labour
Southall	George Pargiter	Labour
Southampton Itchen	Horace King	Labour
Southampton Test	John Howard	Conservative
Southend East	Stephen McAdden	Conservative
Southend West	Paul Channon	Conservative
Southgate	Beverley Baxter	Conservative
Southport	Ian Percival	Conservative
Southwark	Ray Gunter	Labour
Sowerby	Douglas Houghton	Labour
Spelthorne	Beresford Craddock	Conservative
Stafford and Stone	Hon. Hugh Fraser	Conservative
Stalybridge and Hyde	Fred Blackburn	Labour
Stepney	Walter Edwards	Labour
Stirling and Falkirk	Malcolm MacPherson	Labour
Stirlingshire East and Clackmannan	Arthur Woodburn	Labour
Stirlingshire West	William Baxter	Labour
Stockport North	Norman Hulbert	Conservative
Stockport South	Harold Steward	Conservative
Stockton-on-Tees	George Chetwynd	Labour
Stoke-on-Trent Central	Sir Barnett Stross	Labour
Stoke-on-Trent North	Harriet Slater	Labour
Stoke-on-Trent South	Ellis Smith	Labour
Stratford-on-Avon	John Profumo	Conservative
Streatham	Duncan Sandys	Conservative
Stretford	Samuel Storey	Conservative
Stroud	Anthony Kershaw	Conservative
Sudbury and Woodbridge	John Hare	Conservative
Sunderland North	Fred Willey	Labour
Sunderland South	Paul Williams	Conservative
Surbiton	Nigel Fisher	Conservative
Surrey East	Charles Doughty	Conservative
Sutton and Cheam	Richard Sharples	Conservative
Sutton Coldfield	Geoffrey Lloyd	Conservative
Swansea East	David Mort	Labour
Swansea West	Hugh Rees	Conservative
Swindon	Francis Noel-Baker	Labour
Taunton	Edward du Cann	Conservative
Tavistock	Sir Henry Studholme, Bt.	Conservative
Thirsk and Malton	Robin Turton	Conservative
Thurrock	Hugh Delargy	Labour
Tiverton	Derick Heathcoat-Amory	Conservative
Tonbridge	Richard Hornby	Conservative
Torquay	Frederic Bennett	Conservative
Torrington	Percy Browne	Conservative
Totnes	Ray Mawby	Conservative
Tottenham	Alan Grahame Brown	Labour
Truro	Geoffrey Wilson	Conservative
Twickenham	Gresham Cooke	Conservative
Tynemouth	Irene Ward	Conservative
Ulster, Mid	George Forrest	Ulster Unionist
Uxbridge	Charles Curran	Conservative
Vauxhall	George Strauss	Labour
Wakefield	Arthur Creech Jones	Labour
Wallasey	Ernest Marples	Conservative
Wallsend	John McKay	Labour
Walsall North	William Wells	Labour
Walsall South	Henry d'Avigdor-Goldsmid	Conservative
Walthamstow East	John Harvey	Conservative
Walthamstow West	Edward Redhead	Labour
Wandsworth Central	Michael Hughes-Young	Conservative
Warrington	Edith Summerskill	Labour
Warwick and Leamington	John Hobson	Conservative
Watford	Frederick Farey-Jones	Conservative
Wednesbury	John Stonehouse	Labour
Wellingborough	Michael Hamilton	Conservative
Wells	Lynch Maydon	Conservative
Wembley North	Eric Bullus	Conservative
Wembley South	Ronald Russell	Conservative
West Bromwich	John Dugdale	Labour
West Ham North	Arthur Lewis	Labour
West Ham South	Elwyn Jones	Labour
West Lothian	John Taylor	Labour
Westbury	Robert Grimston	Conservative
Western Isles	Malcolm MacMillan	Labour
Westhoughton	Tom Price	Labour
Westmorland	William Fletcher-Vane	Conservative
Weston-super-Mare	David Webster	Conservative
Whitehaven	Joseph Symonds	Labour
Widnes	James MacColl	Labour
Wigan	Alan Fitch	Labour
Willesden East	Trevor Skeet	Conservative
Willesden West	Laurence Pavitt	Labour
Wimbledon	Sir Cyril Black	Conservative
Winchester	Peter Smithers	Conservative
Windsor	Sir Charles Mott-Radclyffe	Conservative
Wirral	Selwyn Lloyd	Conservative
Woking	Harold Watkinson	Conservative
Wokingham	William van Straubenzee	Conservative
Wolverhampton North East	John Baird	Labour
Wolverhampton South West	Enoch Powell	Conservative
Wood Green	Joyce Butler	Labour Co-operative
Woodford	Sir Winston Churchill	Conservative
Woolwich East	Christopher Mayhew	Labour
Woolwich West	Colin Turner	Conservative
Worcester	Hon. George Ward	Conservative
Worcestershire, South	Sir Peter Agnew	Conservative
Workington	Fred Peart	Labour
Worthing	Otho Prior-Palmer	Conservative
The Wrekin	William Yates	Conservative
Wrexham	James Idwal Jones	Labour
Wycombe	John Hall	Conservative
Yarmouth	Anthony Fell	Conservative
Yeovil	John Peyton	Conservative
York	Charles Longbottom	Conservative
