constituency	name	party
Gloucestershire West	M. Philips Price	Labour
Goole	George Jeger	Labour
Gosport and Fareham	Reginald Bennett	Conservative
Gower	David Grenfell	Labour
Grantham	Eric Smith	Conservative
Gravesend	Sir Richard Acland, Bt	Labour
Greenock	Hector McNeil	Labour
Greenwich	Joseph Reeves	Labour
Grimsby	Kenneth Younger	Labour
Guildford	George Nugent	Conservative
Hackney North and Stoke Newington	David Weitzman	Labour
Hackney South	Herbert Butler	Labour
Halifax	Dryden Brook	Labour
Haltemprice	Richard Law	Conservative
Hamilton	Tom Fraser	Labour
Hammersmith North	Frank Tomney	Labour
Hammersmith South	Thomas Williams	Co-op & Labour
Hampstead	Henry Brooke	Conservative
Harborough	John Baldock	Conservative
Harrogate	Christopher York	Conservative
Harrow Central	Patrick Bishop	Conservative
Harrow East	Ian Harvey	Conservative
Harrow West	Norman Bower	Conservative
The Hartlepools	D. T. Jones	Labour
Harwich	Sir Stanley Holmes	National Liberal
Hastings	Neill Cooper-Key	Conservative
Hayes and Harlington	Walter Ayles	Labour
Hemel Hempstead	Frances Davidson	Conservative
Hemsworth	Horace Holmes	Labour
Hendon North	Ian Orr-Ewing	Conservative
Hendon South	Sir Hugh Lucas-Tooth, Bt	Conservative
Henley	John Hay	Conservative
Hereford	James Thomas	Conservative
Hertford	Derek Walker-Smith	Conservative
Hertfordshire South West	Gilbert Longden	Conservative
Heston and Isleworth	Reader Harris	Conservative
Hexham	Douglas Clifton Brown	Conservative 
Heywood and Royton	Harold Sutcliffe	Conservative
High Peak	Hugh Molson	Conservative
Hitchin	Nigel Fisher	Conservative
Holborn and St Pancras South	Santo Jeger	Labour
Holland-with-Boston	Herbert Butcher	National Liberal & Conservative
Honiton	Cedric Drewe	Conservative
Horncastle	John Maitland	Conservative
Hornchurch	Geoffrey Bing	Labour
Hornsey	David Gammans	Conservative
Horsham	The Earl Winterton	Conservative
Houghton-le-Spring	Billy Blyton	Labour
Hove	Anthony Marlowe	Conservative
Huddersfield East	Joseph Mallalieu	Labour
Huddersfield West	Donald Wade	Liberal
Huntingdonshire	David Renton	National Liberal & Conservative
Huyton	Harold Wilson	Labour
Ilford North	Geoffrey Hutchinson	Conservative
Ilford South	Albert Cooper	Conservative
Ilkeston	George Oliver	Labour
Ince	Tom Brown	Labour
Inverness	Lord Malcolm Douglas-Hamilton	Conservative
Ipswich	Richard Stokes	Labour
Isle of Ely	Harry Legge-Bourke	Conservative
Isle of Thanet	Edward Carson	Conservative
Isle of Wight	Sir Peter Macdonald	Conservative
Islington East	Eric Fletcher	Labour
Islington North	Moelwyn Hughes	Labour
Islington South West	Albert Evans	Labour
Jarrow	Ernest Fernyhough	Labour
Keighley	Charles Hobson	Labour
Kensington North	George Rogers	Labour
Kensington South	Sir Patrick Spens	Conservative
Kettering	Gilbert Mitchison	Labour
Kidderminster	Gerald Nabarro	Conservative
Kilmarnock	Willie Ross	Labour
King's Lynn	Frederick Wise	Labour
Kingston upon Hull Central	Mark Hewitson	Labour
Kingston upon Hull East	Harry Pursey	Labour
Kingston upon Hull North	Austen Hudson	Conservative
Kingston-upon-Thames	John Boyd-Carpenter	Conservative
Kinross and West Perthshire	William McNair Snadden	Conservative
Kirkcaldy Burghs	Thomas Hubbard	Labour
Knutsford	Walter Bromley-Davenport	Conservative
Lanark	Alec Douglas-Home	Conservative
Lanarkshire North	Margaret Herbison	Labour
Lancaster	Fitzroy Maclean	Conservative
Leeds Central	George Porter	Labour
Leeds North East	Alice Bacon	Labour
Leeds North	Osbert Peake	Conservative
Leeds North West	Donald Kaberry	Conservative
Leeds South	Hugh Gaitskell	Labour
Leeds South East	James Milner	Labour
Leeds West	Charles Pannell	Labour
Leek	Harold Davies	Labour
Leicester North East	Terence Donovan	Labour
Leicester North West	Barney Janner	Labour
Leicester South East	Charles Waterhouse	Conservative
Leicester South West	Bert Bowden	Labour
Leigh	Harold Boardman	Labour
Leominster	Archer Baldwin	Conservative
Lewes	Tufton Beamish	Conservative
Lewisham North	Sir Austin Hudson, Bt	Conservative
Lewisham South	Herbert Morrison	Labour
Lewisham West	Henry Price	Conservative
Leyton	Reginald Sorensen	Labour
Lichfield and Tamworth	Julian Snow	Labour
Lincoln	Geoffrey de Freitas	Labour
Liverpool Edge Hill	Arthur Irvine	Labour
Liverpool Exchange	Bessie Braddock	Labour
Liverpool Garston	Victor Raikes	Conservative
Liverpool Kirkdale	William Keenan	Labour
Liverpool Scotland	David Logan	Labour
Liverpool Toxteth	Reginald Bevins	Conservative
Liverpool Walton	Kenneth Thompson	Conservative
Liverpool Wavertree	John Tilney	Conservative
Liverpool West Derby	Sir David Maxwell Fyfe	Conservative
Llanelly	Jim Griffiths	Labour
Londonderry	Sir Ronald Ross, Bt	Ulster Unionist
Loughborough	Mont Follick	Labour
Louth	Cyril Osborne	Conservative
Lowestoft	Edward Evans	Labour
Ludlow	Uvedale Corbett	Conservative
Luton	Charles Hill	Conservative & National Liberal
Macclesfield	Arthur Vere Harvey	Conservative
Maidstone	Alfred Bossom	Conservative
Maldon	Tom Driberg	Labour
Manchester Ardwick	Leslie Lever	Labour
Manchester Blackley	Jack Diamond	Labour
Manchester Cheetham	Harold Lever	Labour
Manchester Clayton	Harry Thorneycroft	Labour
Manchester Exchange	Will Griffiths	Labour
Manchester Gorton	William Oldfield	Labour
Manchester Moss Side	Florence Horsbrugh	Conservative
Manchester Withington	Frederick Cundiff	Conservative
Manchester Wythenshawe	Eveline Hill	Conservative
Mansfield	Bernard Taylor	Labour
Melton	Anthony Nutting	Conservative
Merioneth	Emrys Roberts	Liberal
Merthyr Tydfil	S. O. Davies	Labour
Merton and Morden	Robert Ryder	Conservative
Middlesbrough East	Hilary Marquand	Labour
Middlesbrough West	Geoffrey Cooper	Labour
Middleton and Prestwich	Ernest Gates	Conservative
Midlothian and Peebles	David Pryde	Labour
Mitcham	Robert Carr	Conservative
Monmouth	Peter Thorneycroft	Conservative
Montgomeryshire	Clement Davies	Liberal
Moray and Nairn	James Stuart	Conservative
Morecambe and Lonsdale	Sir Ian Fraser	Conservative
Morpeth	Robert Taylor	Labour
Motherwell	Alexander Anderson	Labour
Neath	D. J. Williams	Labour
Nelson and Colne	Sydney Silverman	Labour
Newark	George Deer	Labour
Newbury	Anthony Hurd	Conservative
Newcastle-under-Lyme	John Mack	Labour
Newcastle upon Tyne Central	Lyall Wilkes	Labour
Newcastle upon Tyne East	Arthur Blenkinsop	Labour
Newcastle upon Tyne North	Sir Cuthbert Headlam, Bt	Conservative
Newcastle upon Tyne West	Ernest Popplewell	Labour
New Forest	Oliver Crosthwaite-Eyre	Conservative
Newport	Peter Freeman	Labour
Newton	Frederick Lee	Labour
Norfolk Central	Frank Medlicott	National Liberal & Conservative
Norfolk North	Edwin Gooch	Labour
Norfolk South	Peter Baker	Conservative
Norfolk, South West	Sidney Dye	Labour
Normanton	Thomas Brooks	Labour
Northampton	Reginald Paget	Labour
Northamptonshire South	Reginald Manningham-Buller	Conservative
Northwich	John Foster	Conservative
Norwich, North	John Paton	Labour
Norwich, South	Henry Strauss	Conservative
Norwood	John Smyth	Conservative
Nottingham Central	Ian Winterbottom	Labour
Nottingham East	James Harrison	Labour
Nottingham North West	Tom O'Brien	Labour
Nottingham South	Norman Smith	Co-op & Labour
Nuneaton	Frank Bowles	Labour
Ogmore	Walter Padley	Labour
Oldbury and Halesowen	Arthur Moyle	Labour
Oldham East	Frank Fairhurst	Labour
Oldham West	Leslie Hale	Labour
Orkney and Zetland	Jo Grimond	Liberal
Ormskirk	Sir Ronald Cross, Bt	Conservative
Orpington	Sir Waldron Smithers	Conservative
Oswestry	David Ormsby-Gore	Conservative
Oxford	Quintin Hogg	Conservative
Paddington North	William J. Field	Labour
Paddington South	Somerset de Chair	Conservative
Paisley	Douglas Johnston	Labour
Peckham	Freda Corbet	Labour
Pembrokeshire	Desmond Donnelly	Labour
Penistone	Henry McGhee	Labour
Penrith and the Border	Robert Scott	Conservative
Perth and East Perthshire	Alan Gomme-Duncan	Conservative
Peterborough	Harmar Nicholls	Conservative
Petersfield	George Jeffreys	Conservative
Plymouth Devonport	Michael Foot	Labour
Plymouth Sutton	Lucy Middleton	Labour
Pontefract	George Sylvester	Labour
Pontypool	Granville West	Labour
Pontypridd	Arthur Pearson	Labour
Poole	Mervyn Wheatley	Conservative
Poplar	Charles Key	Labour
Portsmouth Langstone	Geoffrey Stevens	Conservative
Portsmouth South	Sir Jocelyn Lucas, Bt	Conservative
Portsmouth West	Terence Clarke	Conservative
Preston North	Julian Amery	Conservative
Preston South	Edward Shackleton	Labour
Pudsey	Cyril Banks	Conservative
Putney	Hugh Linstead	Conservative
Reading, North	Ronald Mackay	Labour
Reading, South	Ian Mikardo	Labour
Reigate	John Vaughan-Morgan	Conservative
Renfrewshire, East	Guy Lloyd	Conservative
Renfrewshire, West	John Maclay	National Liberal & Conservative
Rhondda East	William Mainwaring	Labour
Rhondda West	Iorwerth Thomas	Labour
Richmond 	Sir Thomas Dugdale, Bt	Conservative
Richmond upon Thames	Sir George Harvie-Watt	Conservative
Ripon	Malcolm Stoddart-Scott	Conservative
Rochdale	Joseph Hale	Labour
Rochester and Chatham	Arthur Bottomley	Labour
Romford	John Lockwood	Conservative
Ross and Cromarty	John MacLeod	Liberal & Conservative
Rossendale	Tony Greenwood	Labour
Rotherham	Jack Jones	Labour
Rother Valley	David Griffiths	Labour
Rowley Regis and Tipton	Arthur Henderson	Labour
Roxburgh and Selkirk	Archie Macdonald	Liberal
Rugby	James Johnson	Labour
Ruislip-Northwood	Petre Crowder	Conservative
Runcorn	Dennis Vosper	Conservative
Rushcliffe	Martin Redmayne	Conservative
Rutherglen	Gilbert McAllister	Labour
Rutland and Stamford	Roger Conant	Conservative
Saffron Walden	Rab Butler	Conservative
St Albans	John Grimston	Conservative
St Helens	Hartley Shawcross	Labour
St Ives	Greville Howard	Conservative & Nat. Liberal
St Marylebone	Sir Wavell Wakefield	Conservative
St Pancras North	Kenneth Robinson	Labour
Salford East	Edward Hardy	Labour
Salford West	Charles Royle	Labour
Salisbury	John Morrison	Conservative
Scarborough and Whitby	Alexander Spearman	Conservative
Sedgefield	Joseph Slater	Labour
Sevenoaks	John Rodgers	Conservative
Sheffield, Attercliffe	John Hynd	Labour
Sheffield, Brightside	Richard Winterbottom	Labour
Sheffield, Hallam	Roland Jennings	Conservative & Liberal
Sheffield, Heeley	Peter Roberts	Conservative & Liberal
Sheffield, Hillsborough	George Darling	Co-op & Labour
Sheffield, Neepsend	Harry Morris	Labour
Sheffield, Park	Fred Mulley	Labour
Shipley	Geoffrey Hirst	Conservative
Shoreditch and Finsbury	Ernest Thurtle	Labour
Shrewsbury	John Langford-Holt	Conservative
Skipton	Burnaby Drayson	Conservative
Smethwick	Patrick Gordon Walker	Labour
Solihull	Martin Lindsay	Conservative
Somerset North	Ted Leather	Conservative
Southall	George Pargiter	Labour
Southampton, Itchen	Ralph Morley	Labour
Southampton, Test	Horace King	Labour
Southend East	Stephen McAdden	Conservative
Southend West	Henry Channon	Conservative
Southgate	Beverley Baxter	Conservative
Southport	Robert Hudson	Conservative
South Shields	James Chuter Ede	Labour
Southwark	George Isaacs	Labour
Sowerby	Douglas Houghton	Labour
Spelthorne	Beresford Craddock	Conservative
Stafford and Stone	Hugh Fraser	Conservative
Stalybridge and Hyde	Rev. Gordon Lang	Labour
Stepney	Walter Edwards	Labour
Stirling and Falkirk	Malcolm MacPherson	Labour
Stirlingshire East and Clackmannan	Arthur Woodburn	Labour
Stirlingshire West	Alfred Balfour	Labour
Stockport North	Norman Hulbert	Conservative
Stockport South	Sir Arnold Gridley	Conservative
Stockton-on-Tees	George Chetwynd	Labour
Stoke-on-Trent Central	Barnett Stross	Labour
Stoke-on-Trent North	Albert Davies	Labour
Stoke-on-Trent South	Ellis Smith	Labour
Stratford-on-Avon	John Profumo	Conservative
Streatham	Duncan Sandys	Conservative
Stretford	Samuel Storey	Conservative
Stroud and Thornbury	Walter Perkins	Conservative
Sudbury and Woodbridge	John Hare	Conservative
Sunderland North	Fred Willey	Labour
Sunderland South	Richard Ewart	Labour
Surrey East	Michael Astor	Conservative
Sutton and Cheam	Sydney Marshall	Conservative
Sutton Coldfield	Sir John Mellor, Bt	Conservative
Swansea East	David Mort	Labour
Swansea, West	Percy Morris	Labour
Swindon	Thomas Reid	Labour
Taunton	Henry Hopkinson	Conservative
Tavistock	Henry Studholme	Conservative
Thirsk and Malton	Robin Turton	Conservative
Thurrock	Hugh Delargy	Labour
Tiverton	Derick Heathcoat-Amory	Conservative
Tonbridge	Gerald Williams	Conservative
Torquay	Charles Williams	Conservative
Torrington	George Lambert	National Liberal & Conservative
Totnes	Ralph Rayner	Conservative
Tottenham	Frederick Messer	Co-op & Labour
Truro	Geoffrey Wilson	Conservative
Twickenham	Edward Keeling	Conservative
Tynemouth	Irene Ward	Conservative
Ulster Mid	Anthony Mulvey	Irish Nationalist
Uxbridge	Frank Beswick	Co-op & Labour
Vauxhall	George Strauss	Labour
Wakefield	Arthur Greenwood	Labour
Wallasey	Ernest Marples	Conservative
Wallsend	John McKay	Labour
Walsall	William Wells	Labour
Walthamstow East	Harry Wallace	Labour
Walthamstow West	Clement Attlee	Labour
Wandsworth Central	Richard Adams	Labour
Warwick and Leamington	Anthony Eden	Conservative
Warrington	Hyacinth Morgan	Labour
Watford	John Freeman	Labour
Wednesbury	Stanley Evans	Labour
Wellingborough	George Lindgren	Labour
Wells	Dennis Boles	Conservative
Wembley North	Sir Eric Bullus	Conservative
Wembley South	Ronald Russell	Conservative
West Bromwich	John Dugdale	Labour
Westbury	Robert Grimston	Conservative
Western Isles	Malcolm Macmillan	Labour
West Ham North	Arthur Lewis	Labour
West Ham South	Elwyn Jones	Labour
Westhoughton	Rhys Davies	Labour
West Lothian	George Mathers	Labour
Westmorland	William Fletcher-Vane	Conservative
Weston-super-Mare	Ian Orr-Ewing	Conservative
Whitehaven	Frank Anderson	Labour
Widnes	James MacColl	Labour
Wigan	Ronald Williams	Labour
Willesden East	Maurice Orbach	Labour
Willesden West	Samuel Viant	Labour
Wimbledon	Cyril Black	Conservative
Winchester	Peter Smithers	Conservative
Windsor	Charles Mott-Radclyffe	Conservative
Wirral	Selwyn Lloyd	Conservative
Woking	Harold Watkinson	Conservative
Wokingham	Peter Remnant	Conservative
Wolverhampton North East	John Baird	Labour
Wolverhampton South West	Enoch Powell	Conservative
Woodford	Winston Churchill	Conservative
Wood Green	William Irving	Co-op & Labour
Woolwich East	Ernest Bevin	Labour
Woolwich West	William Steward	Conservative
Worcester	George Ward	Conservative
Worcestershire South	Rupert de la Bere	Conservative
Workington	Fred Peart	Labour
Worthing	Otho Prior-Palmer	Conservative
The Wrekin	Ivor Owen Thomas	Labour
Wrexham	Robert Richards	Labour
Wycombe	John Haire	Labour
Yarmouth	Ernest Kinghorn	Labour
Yeovil	William Kingsmill	Conservative
York	Harry Hylton-Foster	Conservative
